,4RXH_B_20_C_2.pdb,3ZIN_A_20_B_1.pdb,3ZIQ_A_20_C_1.pdb,3L6X_A_20_B_2.pdb,1EE4_A_20_D_1.pdb,3L3Q_A_20_C_1.pdb,4B8O_A_20_C_1.pdb,3UKX_B_20_C_1.pdb,3Q5U_A_20_B_1.pdb,1PJM_B_20_A_1.pdb,4MZ5_E_20_A_1.pdb,1PJN_B_20_A_1.pdb,3UL1_B_20_A_1.pdb,1EE4_A_20_C_2.pdb,3UKZ_B_20_C_1.pdb,1PJN_B_20_A_2.pdb,2YNR_A_20_B_2.pdb,4ZDU_A_20_B_1.pdb,3UKZ_B_20_C_2.pdb,3OQS_A_20_B_2.pdb,3ZIQ_A_20_B_2.pdb,2YNR_A_20_C_1.pdb,3ZIP_A_20_B_1.pdb,1Q1T_C_20_A_1.pdb,2YNS_B_20_D_1.pdb,4BPL_A_20_B_1.pdb,1Q1T_C_20_B_2.pdb,3UVU_A_20_B_2.pdb,3ZIN_A_20_C_2.pdb,1Q1S_C_20_B_2.pdb,1PJM_B_20_A_2.pdb,3ZIP_A_20_C_2.pdb,4MZ6_E_20_C_2.pdb,4MZ5_E_20_C_2.pdb,3RZ9_A_20_B_2.pdb,3UVU_A_20_B_1.pdb,4MZ6_E_20_A_1.pdb,5AEI_B_20_E_2.pdb,4D49_AB_20_D_3.pdb,3ZIO_A_20_B_1.pdb,3ZIR_A_20_C_2.pdb,1Q1S_C_20_A_1.pdb,5AEI_B_20_E_1.pdb,4B8O_A_20_B_2.pdb,4YI0_C_20_A_2.pdb,3UKX_B_20_C_2.pdb,4BA3_A_20_B_2.pdb,1EE5_A_20_B_2.pdb,3ZIR_A_20_B_1.pdb,4RXH_B_20_A_1.pdb,3UKW_B_20_C_2.pdb,4D49_AB_20_C_1.pdb,3ZIO_A_20_C_2.pdb,1EE5_A_20_B_1.pdb,4YI0_C_20_A_1.pdb,4B8P_B_20_D_1.pdb,3UL0_B_20_C_1.pdb,4BPL_A_20_B_2.pdb,3UKW_B_20_C_1.pdb,3L3Q_A_20_B_2.pdb,4WV6_A_20_B_2.pdb,1Y2A_C_20_P_2.pdb,3UL0_B_20_C_2.pdb,3UL1_B_20_A_2.pdb
4RXH_B_20_C_2.pdb,1.0,0.5831775700934579,0.5831775700934579,0.20934579439252338,0.702803738317757,0.5813084112149532,0.7158878504672898,0.5831775700934579,0.5887850467289719,0.5813084112149532,0.5813084112149532,0.5831775700934579,0.5831775700934579,0.702803738317757,0.5813084112149532,0.5831775700934579,0.5813084112149532,0.5850467289719626,0.5813084112149532,0.5813084112149532,0.5831775700934579,0.5813084112149532,0.5831775700934579,0.577570093457944,0.7065420560747664,0.7102803738317757,0.577570093457944,0.5813084112149532,0.5831775700934579,0.5682242990654206,0.5813084112149532,0.5831775700934579,0.5831775700934579,0.5813084112149532,0.5813084112149532,0.5813084112149532,0.5831775700934579,0.38317757009345793,0.3663551401869159,0.5831775700934579,0.5831775700934579,0.5682242990654206,0.38317757009345793,0.7158878504672898,0.5850467289719626,0.5831775700934579,0.577570093457944,0.7046728971962617,0.5831775700934579,1.0,0.5831775700934579,0.3663551401869159,0.5831775700934579,0.7046728971962617,0.5850467289719626,0.7102803738317757,0.5794392523364486,0.7102803738317757,0.5831775700934579,0.5813084112149532,0.5813084112149532,0.5887850467289719,0.5794392523364486,0.5831775700934579
3ZIN_A_20_B_1.pdb,0.5831775700934579,1.0,1.0,0.2,0.5644859813084112,0.9981308411214953,0.5813084112149532,1.0,0.994392523364486,0.9981308411214953,0.9981308411214953,1.0,1.0,0.5644859813084112,0.9981308411214953,1.0,0.9981308411214953,0.9813084112149533,0.9981308411214953,0.9981308411214953,1.0,0.9981308411214953,1.0,0.994392523364486,0.5831775700934579,0.5813084112149532,0.994392523364486,0.9981308411214953,1.0,0.9738317757009346,0.9981308411214953,1.0,1.0,0.9981308411214953,0.9981308411214953,0.9981308411214953,1.0,0.37009345794392523,0.35887850467289717,1.0,1.0,0.9738317757009346,0.37009345794392523,0.5813084112149532,0.9981308411214953,1.0,0.994392523364486,0.5663551401869159,1.0,0.5831775700934579,1.0,0.35887850467289717,1.0,0.5663551401869159,0.9981308411214953,0.5813084112149532,0.9962616822429906,0.5813084112149532,1.0,0.9981308411214953,0.9420560747663551,0.994392523364486,0.9962616822429906,1.0
3ZIQ_A_20_C_1.pdb,0.5831775700934579,1.0,1.0,0.2,0.5644859813084112,0.9981308411214953,0.5813084112149532,1.0,0.994392523364486,0.9981308411214953,0.9981308411214953,1.0,1.0,0.5644859813084112,0.9981308411214953,1.0,0.9981308411214953,0.9813084112149533,0.9981308411214953,0.9981308411214953,1.0,0.9981308411214953,1.0,0.994392523364486,0.5831775700934579,0.5813084112149532,0.994392523364486,0.9981308411214953,1.0,0.9738317757009346,0.9981308411214953,1.0,1.0,0.9981308411214953,0.9981308411214953,0.9981308411214953,1.0,0.37009345794392523,0.35887850467289717,1.0,1.0,0.9738317757009346,0.37009345794392523,0.5813084112149532,0.9981308411214953,1.0,0.994392523364486,0.5663551401869159,1.0,0.5831775700934579,1.0,0.35887850467289717,1.0,0.5663551401869159,0.9981308411214953,0.5813084112149532,0.9962616822429906,0.5813084112149532,1.0,0.9981308411214953,0.9420560747663551,0.994392523364486,0.9962616822429906,1.0
3L6X_A_20_B_2.pdb,0.20934579439252338,0.2,0.2,1.0,0.2,0.19813084112149532,0.19813084112149532,0.2,0.205607476635514,0.19813084112149532,0.19813084112149532,0.2,0.2,0.2,0.19813084112149532,0.2,0.2,0.21682242990654205,0.19813084112149532,0.2,0.2,0.2,0.2,0.19626168224299065,0.2,0.19813084112149532,0.19626168224299065,0.2,0.2,0.18504672897196262,0.19813084112149532,0.2,0.2,0.19813084112149532,0.2,0.2,0.2,0.2504672897196262,0.2542056074766355,0.2,0.2,0.18504672897196262,0.2504672897196262,0.19813084112149532,0.20186915887850468,0.2,0.19626168224299065,0.205607476635514,0.2,0.20934579439252338,0.2,0.2542056074766355,0.2,0.205607476635514,0.20186915887850468,0.2,0.19813084112149532,0.19813084112149532,0.2,0.19813084112149532,0.20373831775700935,0.205607476635514,0.19813084112149532,0.2
1EE4_A_20_D_1.pdb,0.702803738317757,0.5644859813084112,0.5644859813084112,0.2,1.0,0.5626168224299065,0.6467289719626168,0.5644859813084112,0.5700934579439252,0.5626168224299065,0.5626168224299065,0.5644859813084112,0.5644859813084112,1.0,0.5626168224299065,0.5644859813084112,0.5663551401869159,0.5682242990654206,0.5626168224299065,0.5663551401869159,0.5644859813084112,0.5663551401869159,0.5644859813084112,0.5626168224299065,0.6523364485981309,0.6485981308411215,0.5626168224299065,0.5663551401869159,0.5644859813084112,0.5495327102803739,0.5626168224299065,0.5644859813084112,0.5644859813084112,0.5626168224299065,0.5663551401869159,0.5663551401869159,0.5644859813084112,0.38691588785046727,0.36074766355140186,0.5644859813084112,0.5644859813084112,0.5495327102803739,0.38691588785046727,0.6467289719626168,0.5663551401869159,0.5644859813084112,0.5626168224299065,0.9719626168224299,0.5644859813084112,0.702803738317757,0.5644859813084112,0.36074766355140186,0.5644859813084112,0.9719626168224299,0.5663551401869159,0.6485981308411215,0.5644859813084112,0.6485981308411215,0.5644859813084112,0.5626168224299065,0.5644859813084112,0.5700934579439252,0.5644859813084112,0.5644859813084112
3L3Q_A_20_C_1.pdb,0.5813084112149532,0.9981308411214953,0.9981308411214953,0.19813084112149532,0.5626168224299065,1.0,0.5794392523364486,0.9981308411214953,0.9925233644859813,1.0,1.0,0.9981308411214953,0.9981308411214953,0.5626168224299065,1.0,0.9981308411214953,0.9962616822429906,0.9794392523364486,1.0,0.9962616822429906,0.9981308411214953,0.9962616822429906,0.9981308411214953,0.9962616822429906,0.5813084112149532,0.5794392523364486,0.9962616822429906,0.9962616822429906,0.9981308411214953,0.9719626168224299,1.0,0.9981308411214953,0.9981308411214953,1.0,0.9962616822429906,0.9962616822429906,0.9981308411214953,0.36822429906542054,0.35700934579439253,0.9981308411214953,0.9981308411214953,0.9719626168224299,0.36822429906542054,0.5794392523364486,0.9962616822429906,0.9981308411214953,0.9962616822429906,0.5644859813084112,0.9981308411214953,0.5813084112149532,0.9981308411214953,0.35700934579439253,0.9981308411214953,0.5644859813084112,0.9962616822429906,0.5794392523364486,0.9981308411214953,0.5794392523364486,0.9981308411214953,1.0,0.9401869158878504,0.9925233644859813,0.9981308411214953,0.9981308411214953
4B8O_A_20_C_1.pdb,0.7158878504672898,0.5813084112149532,0.5813084112149532,0.19813084112149532,0.6467289719626168,0.5794392523364486,1.0,0.5813084112149532,0.5869158878504673,0.5794392523364486,0.5794392523364486,0.5813084112149532,0.5813084112149532,0.6467289719626168,0.5794392523364486,0.5813084112149532,0.5813084112149532,0.5850467289719626,0.5794392523364486,0.5813084112149532,0.5813084112149532,0.5813084112149532,0.5813084112149532,0.577570093457944,0.9719626168224299,0.9794392523364486,0.577570093457944,0.5813084112149532,0.5813084112149532,0.5663551401869159,0.5794392523364486,0.5813084112149532,0.5813084112149532,0.5794392523364486,0.5813084112149532,0.5813084112149532,0.5813084112149532,0.38878504672897196,0.3719626168224299,0.5813084112149532,0.5813084112149532,0.5663551401869159,0.38878504672897196,1.0,0.5831775700934579,0.5813084112149532,0.577570093457944,0.6485981308411215,0.5813084112149532,0.7158878504672898,0.5813084112149532,0.3719626168224299,0.5813084112149532,0.6485981308411215,0.5831775700934579,0.9682242990654205,0.5794392523364486,0.9794392523364486,0.5813084112149532,0.5794392523364486,0.577570093457944,0.5869158878504673,0.5794392523364486,0.5813084112149532
3UKX_B_20_C_1.pdb,0.5831775700934579,1.0,1.0,0.2,0.5644859813084112,0.9981308411214953,0.5813084112149532,1.0,0.994392523364486,0.9981308411214953,0.9981308411214953,1.0,1.0,0.5644859813084112,0.9981308411214953,1.0,0.9981308411214953,0.9813084112149533,0.9981308411214953,0.9981308411214953,1.0,0.9981308411214953,1.0,0.994392523364486,0.5831775700934579,0.5813084112149532,0.994392523364486,0.9981308411214953,1.0,0.9738317757009346,0.9981308411214953,1.0,1.0,0.9981308411214953,0.9981308411214953,0.9981308411214953,1.0,0.37009345794392523,0.35887850467289717,1.0,1.0,0.9738317757009346,0.37009345794392523,0.5813084112149532,0.9981308411214953,1.0,0.994392523364486,0.5663551401869159,1.0,0.5831775700934579,1.0,0.35887850467289717,1.0,0.5663551401869159,0.9981308411214953,0.5813084112149532,0.9962616822429906,0.5813084112149532,1.0,0.9981308411214953,0.9420560747663551,0.994392523364486,0.9962616822429906,1.0
3Q5U_A_20_B_1.pdb,0.5887850467289719,0.994392523364486,0.994392523364486,0.205607476635514,0.5700934579439252,0.9925233644859813,0.5869158878504673,0.994392523364486,1.0,0.9925233644859813,0.9925233644859813,0.994392523364486,0.994392523364486,0.5700934579439252,0.9925233644859813,0.994392523364486,0.9925233644859813,0.9869158878504672,0.9925233644859813,0.9925233644859813,0.994392523364486,0.9925233644859813,0.994392523364486,0.9887850467289719,0.5887850467289719,0.5869158878504673,0.9887850467289719,0.9925233644859813,0.994392523364486,0.9794392523364486,0.9925233644859813,0.994392523364486,0.994392523364486,0.9925233644859813,0.9925233644859813,0.9925233644859813,0.994392523364486,0.37570093457943926,0.3644859813084112,0.994392523364486,0.994392523364486,0.9794392523364486,0.37570093457943926,0.5869158878504673,0.9962616822429906,0.994392523364486,0.9887850467289719,0.5719626168224299,0.994392523364486,0.5887850467289719,0.994392523364486,0.3644859813084112,0.994392523364486,0.5719626168224299,0.9962616822429906,0.5869158878504673,0.9906542056074766,0.5869158878504673,0.994392523364486,0.9925233644859813,0.9476635514018692,1.0,0.9906542056074766,0.994392523364486
1PJM_B_20_A_1.pdb,0.5813084112149532,0.9981308411214953,0.9981308411214953,0.19813084112149532,0.5626168224299065,1.0,0.5794392523364486,0.9981308411214953,0.9925233644859813,1.0,1.0,0.9981308411214953,0.9981308411214953,0.5626168224299065,1.0,0.9981308411214953,0.9962616822429906,0.9794392523364486,1.0,0.9962616822429906,0.9981308411214953,0.9962616822429906,0.9981308411214953,0.9962616822429906,0.5813084112149532,0.5794392523364486,0.9962616822429906,0.9962616822429906,0.9981308411214953,0.9719626168224299,1.0,0.9981308411214953,0.9981308411214953,1.0,0.9962616822429906,0.9962616822429906,0.9981308411214953,0.36822429906542054,0.35700934579439253,0.9981308411214953,0.9981308411214953,0.9719626168224299,0.36822429906542054,0.5794392523364486,0.9962616822429906,0.9981308411214953,0.9962616822429906,0.5644859813084112,0.9981308411214953,0.5813084112149532,0.9981308411214953,0.35700934579439253,0.9981308411214953,0.5644859813084112,0.9962616822429906,0.5794392523364486,0.9981308411214953,0.5794392523364486,0.9981308411214953,1.0,0.9401869158878504,0.9925233644859813,0.9981308411214953,0.9981308411214953
