,4AEN_AB_6_C_2.pdb,1MUJ_AB_6_C_1.pdb,1T5W_DE_6_F_1.pdb,4IS6_AB_6_C_1.pdb,3S4S_AB_6_C_1.pdb,3PDO_AB_6_C_1.pdb,1R5V_CD_6_F_1.pdb,1SJH_AB_6_C_1.pdb,3C5J_AB_6_C_1.pdb,1FV1_DE_6_F_1.pdb,1UVQ_AB_6_C_1.pdb,4H26_DE_6_F_1.pdb,4MDJ_AB_6_C_1.pdb,1IAK_AB_6_P_1.pdb,2NNA_AB_6_C_1.pdb,1S9V_DE_6_F_1.pdb,1AQD_JK_6_L_1.pdb,1KLU_AB_6_C_1.pdb,4I5B_DE_6_F_1.pdb,1JK8_AB_6_C_1.pdb,4OV5_PQ_6_R_1.pdb,2Q6W_DE_6_F_1.pdb,4H25_DE_6_F_1.pdb,4X5W_AB_6_C_1.pdb,3QXD_DE_6_F_1.pdb
4AEN_AB_6_C_2.pdb,1.0,0.6571428571428571,0.9571428571428572,0.8809523809523809,0.9666666666666667,0.9428571428571428,0.7523809523809524,0.9571428571428572,0.8904761904761904,0.8904761904761904,0.7285714285714285,0.8761904761904762,0.861904761904762,0.6571428571428571,0.680952380952381,0.7380952380952381,0.9571428571428572,0.9571428571428572,0.9523809523809523,0.6666666666666666,0.9619047619047619,0.861904761904762,0.8952380952380953,0.9476190476190476,0.9619047619047619
1MUJ_AB_6_C_1.pdb,0.6571428571428571,1.0,0.6238095238095238,0.6285714285714286,0.6428571428571429,0.6190476190476191,0.6285714285714286,0.6238095238095238,0.6190476190476191,0.6095238095238096,0.7571428571428571,0.6047619047619047,0.6333333333333333,0.8380952380952381,0.7380952380952381,0.7523809523809524,0.638095238095238,0.6238095238095238,0.6285714285714286,0.7380952380952381,0.6285714285714286,0.5952380952380952,0.6238095238095238,0.6238095238095238,0.6285714285714286
1T5W_DE_6_F_1.pdb,0.9571428571428572,0.6238095238095238,1.0,0.8809523809523809,0.9714285714285714,0.9428571428571428,0.7523809523809524,0.9809523809523809,0.861904761904762,0.9142857142857143,0.6857142857142857,0.8809523809523809,0.8761904761904762,0.6666666666666666,0.6476190476190476,0.6952380952380952,0.9809523809523809,0.9809523809523809,0.9857142857142858,0.6619047619047619,0.9952380952380953,0.8857142857142857,0.861904761904762,0.9142857142857143,0.9952380952380953
4IS6_AB_6_C_1.pdb,0.8809523809523809,0.6285714285714286,0.8809523809523809,1.0,0.8714285714285714,0.8761904761904762,0.7761904761904762,0.8952380952380953,0.8666666666666667,0.8809523809523809,0.6714285714285714,0.8809523809523809,0.9476190476190476,0.638095238095238,0.6476190476190476,0.6761904761904762,0.8714285714285714,0.8952380952380953,0.8809523809523809,0.6571428571428571,0.8857142857142857,0.8714285714285714,0.8714285714285714,0.8380952380952381,0.8857142857142857
3S4S_AB_6_C_1.pdb,0.9666666666666667,0.6428571428571429,0.9714285714285714,0.8714285714285714,1.0,0.9619047619047619,0.7428571428571429,0.9714285714285714,0.8714285714285714,0.9095238095238095,0.7047619047619048,0.8714285714285714,0.8666666666666667,0.6523809523809524,0.6714285714285714,0.7142857142857143,0.9523809523809523,0.9714285714285714,0.9571428571428572,0.6619047619047619,0.9666666666666667,0.8571428571428571,0.8714285714285714,0.9333333333333333,0.9666666666666667
3PDO_AB_6_C_1.pdb,0.9428571428571428,0.6190476190476191,0.9428571428571428,0.8761904761904762,0.9619047619047619,1.0,0.7285714285714285,0.9523809523809523,0.8428571428571429,0.8904761904761904,0.680952380952381,0.8476190476190476,0.8476190476190476,0.6285714285714286,0.6476190476190476,0.6904761904761905,0.9238095238095239,0.9523809523809523,0.9285714285714286,0.6476190476190476,0.9380952380952381,0.8285714285714286,0.8666666666666667,0.9095238095238095,0.9380952380952381
1R5V_CD_6_F_1.pdb,0.7523809523809524,0.6285714285714286,0.7523809523809524,0.7761904761904762,0.7428571428571429,0.7285714285714285,1.0,0.7714285714285715,0.7619047619047619,0.7523809523809524,0.6666666666666666,0.7761904761904762,0.7666666666666667,0.6428571428571429,0.6333333333333333,0.6571428571428571,0.7619047619047619,0.7714285714285715,0.7523809523809524,0.6666666666666666,0.7571428571428571,0.7619047619047619,0.7523809523809524,0.7,0.7571428571428571
1SJH_AB_6_C_1.pdb,0.9571428571428572,0.6238095238095238,0.9809523809523809,0.8952380952380953,0.9714285714285714,0.9523809523809523,0.7714285714285715,1.0,0.861904761904762,0.9285714285714286,0.6857142857142857,0.8904761904761904,0.8952380952380953,0.6523809523809524,0.6476190476190476,0.6952380952380952,0.9619047619047619,1.0,0.9666666666666667,0.6761904761904762,0.9761904761904762,0.8666666666666667,0.861904761904762,0.9142857142857143,0.9761904761904762
3C5J_AB_6_C_1.pdb,0.8904761904761904,0.6190476190476191,0.861904761904762,0.8666666666666667,0.8714285714285714,0.8428571428571429,0.7619047619047619,0.861904761904762,1.0,0.8333333333333334,0.6714285714285714,0.9619047619047619,0.8571428571428571,0.6285714285714286,0.6428571428571429,0.6857142857142857,0.8714285714285714,0.861904761904762,0.861904761904762,0.638095238095238,0.8666666666666667,0.919047619047619,0.9666666666666667,0.8380952380952381,0.8666666666666667
1FV1_DE_6_F_1.pdb,0.8904761904761904,0.6095238095238096,0.9142857142857143,0.8809523809523809,0.9095238095238095,0.8904761904761904,0.7523809523809524,0.9285714285714286,0.8333333333333334,1.0,0.6761904761904762,0.861904761904762,0.8952380952380953,0.638095238095238,0.6428571428571429,0.680952380952381,0.8952380952380953,0.9285714285714286,0.9047619047619048,0.6714285714285714,0.9095238095238095,0.8523809523809524,0.8380952380952381,0.8523809523809524,0.9095238095238095
