1A1M C 0.000 82
1A1N C 0.000 85
1A1O C 0.000 83
1A1R C 0.026 66
1A1R D 0.093 65
1A2X B 0.239 44
1A3B C 0.048 48
1A3E C 0.049 49
1A3R C 0.047 69
1A4W C 0.034 44
1A7C B 0.040 93
1A7C C 0.000 95
1A92 A 0.311 30
1A92 B 0.264 31
1A9E C 0.111 84
1AB9 C 0.175 56
1AB9 D 0.179 66
1ABO C 0.350 45
1ABO D 0.320 44
1AFQ C 0.169 56
1AGB C 0.000 81
1AGC C 0.000 84
1AGD C 0.000 82
1AGE C 0.000 85
1AGF C 0.000 86
1AN1 B 0.061 35
1APH A 0.421 35
1APH B 0.267 50
1AQD C 0.008 73
1AS4 B 0.007 79
1ATP B 0.208 58
1AVF B 0.035 57
1AW8 C 0.083 74
1AW8 D 0.174 60
1AWI C 0.117 63
1AWQ B 0.399 57
1AWR B 0.342 60
1AWU B 0.370 58
1AWV B 0.402 57
1B0G C 0.000 84
1B0N B 0.189 61
1B17 A 0.411 36
1B17 B 0.294 49
1B18 A 0.417 35
1B18 B 0.297 49
1B19 A 0.423 33
1B19 B 0.298 48
1B2A A 0.407 35
1B2A B 0.296 49
1B2B A 0.397 33
1B2B B 0.290 49
1B2C A 0.415 35
1B2C B 0.289 49
1B2D A 0.415 35
1B2D B 0.293 49
1B2E A 0.409 36
1B2E B 0.287 50
1B2F A 0.402 35
1B2F B 0.281 49
1B2G A 0.399 36
1B2G B 0.241 51
1B9E A 0.283 48
1B9E B 0.259 50
1B9E C 0.425 43
1B9E D 0.411 44
1BA8 C 0.077 48
1BAZ C 0.129 46
1BB0 C 0.080 45
1BBR E 0.200 73
1BBR F 0.000 67
1BBZ B 0.367 46
1BC5 B 0.245 61
1BD2 E 0.000 97
1BE9 B 0.161 65
1BEN A 0.322 29
1BEN B 0.341 30
1BHX D 0.073 57
1BII C 0.082 82
1BJR B 0.040 86
1BPH A 0.406 36
1BPH B 0.257 52
1BQP B 0.005 80
1BT6 C 0.123 65
1C4U C 0.028 46
1C5W B 0.210 53
1C5X B 0.203 53
1C5Y B 0.206 54
1C5Z B 0.204 51
1C94 A 0.534 27
1C94 B 0.549 26
1CA0 D 0.052 55
1CA8 C 0.067 45
1CA9 G 0.209 53
1CA9 H 0.000 74
1CDK B 0.197 55
1CDL B 0.000 75
1CDM B 0.016 76
1CE1 C 0.132 73
1CE9 A 0.303 33
1CE9 B 0.293 33
1CF0 B 0.000 52
1CFW A 0.312 41
1CFW B 0.282 40
1CHO D 0.108 56
1CIQ A 0.280 38
1CIQ B 0.277 49
1CJF C 0.113 41
1CJF D 0.100 41
1CJR B 0.200 51
1CKA B 0.284 52
1CKB B 0.249 52
1CM1 B 0.017 79
1CM4 B 0.014 77
1CMI B 0.119 54
1CN3 F 0.000 40
1CPH A 0.365 35
1CPH B 0.237 52
1CQ4 A 0.272 39
1CQ4 B 0.220 52
1CSB B 0.100 71
1CVU C 0.461 25
1CZY D 0.246 63
1CZY E 0.115 63
1D01 D 0.142 60
1D01 E 0.141 59
1D01 F 0.125 61
1D0A G 0.021 64
1D0A H 0.199 66
1D0A I 0.087 64
1D0A J 0.001 65
1D0A K 0.070 66
1D0A L 0.027 65
1D0J G 0.216 62
1D0J H 0.038 59
1D0J I 0.051 63
1D0J J 0.007 62
1D0J K 0.010 66
1D3D B 0.110 52
1D3P B 0.105 54
1D4P B 0.114 53
1D4T B 0.207 62
1D5D B 0.165 52
1D5H B 0.165 51
1D8D C 0.000 63
1DCD A 0.327 40
1DCD B 0.259 41
1DD3 C 0.219 57
1DD3 D 0.213 57
1DD4 C 0.365 53
1DD4 D 0.233 56
1DDV B 0.489 49
1DE7 C 0.000 63
1DEV B 0.113 48
1DFN A 0.422 24
1DFN B 0.491 24
1DHG A 0.325 42
1DHG B 0.274 41
1DKD C 0.196 41
1DKD D 0.244 41
1DKZ B 0.155 65
1DLK B 0.209 55
1DM4 C 0.150 71
1DP5 B 0.184 60
1DPH A 0.366 36
1DPH B 0.225 52
1DPJ B 0.206 62
1DUY C 0.032 77
1DUZ C 0.012 79
1DXG A 0.328 40
1DXG B 0.271 40
1DXP B 0.031 87
1DY8 B 0.023 88
1DY9 B 0.022 86
1E27 C 0.000 84
1E4W C 0.208 60
1E4X C 0.204 74
1E8N B 0.000 78
1EB1 C 0.051 51
1EDM A 0.350 18
1EDM B 0.404 18
1EE4 B 0.124 68
1EE4 C 0.000 56
1EE5 B 0.070 59
1EEY C 0.000 79
1EEZ C 0.000 79
1EG4 B 0.229 39
1EGP A 0.454 34
1EGP B 0.344 53
1EHK C 0.057 60
1EJ4 B 0.328 44
1EJH B 0.027 47
1EJO C 0.006 60
1EKB B 0.030 54
1ELR B 0.011 70
1ELW B 0.140 58
1EMU B 0.218 48
1ET1 A 0.665 13
1ET1 B 0.664 14
1EV6 E 0.035 32
1EV6 F 0.265 35
1EV6 G 0.140 11
1EV6 H 0.266 39
1EV6 I 0.205 33
1EVH B 0.090 61
1EYX E 0.000 31
1EYX F 0.000 30
1F0C B 0.028 76
1F2S B 0.177 46
1F47 B 0.277 37
1F4N B 0.195 42
1F4V B 0.000 51
1F7A C 0.074 75
1FCH C 0.105 77
1FCH D 0.000 94
1FD3 A 0.469 16
1FD3 B 0.254 17
1FD4 A 0.034 23
1FD4 B 0.118 23
1FE6 D 0.117 55
1FI8 F 0.027 61
1FIW B 0.019 54
1FLE B 0.142 34
1FM6 C 0.247 44
1FM6 D 0.016 55
1FM9 C 0.109 41
1FM9 D 0.270 54
1FMO B 0.170 57
1FO0 E 0.000 94
1FPH C 0.298 51
1FPH D 0.000 62
1FQJ C 0.328 31
1FV1 C 0.146 55
1FZJ C 0.043 87
1FZK C 0.079 82
1FZM C 0.048 86
1FZO C 0.069 87
1G0V B 0.163 63
1G37 B 0.027 55
1G39 D 0.218 41
1G6U A 0.384 38
1G6U B 0.424 38
1G7A A 0.231 58
1G7A C 0.222 51
1G7A D 0.306 39
1G7B A 0.221 58
1G7B C 0.224 51
1G7B D 0.295 39
1G7P C 0.138 81
1G7Q C 0.112 81
1G9I B 0.045 49
1GCT C 0.176 55
1GG6 C 0.167 60
1GGD C 0.161 57
1GHA C 0.170 57
1GHB C 0.161 57
1GI7 B 0.220 48
1GI8 B 0.208 50
1GI9 B 0.191 42
1GJ7 B 0.178 50
1GJ8 B 0.220 46
1GJ9 B 0.148 48
1GJA B 0.208 48
1GJB B 0.218 49
1GJC B 0.173 52
1GJD B 0.215 45
1GL1 B 0.166 39
1GMC C 0.151 57
1GMD C 0.160 57
1GMH C 0.177 58
1GUJ A 0.261 26
1GUJ B 0.439 42
1GUX C 0.383 54
1GWQ B 0.036 48
1GWR B 0.260 48
1GYB C 0.011 45
1H24 C 0.000 54
1H25 C 0.000 56
1H26 C 0.000 56
1H27 C 0.000 56
1H59 B 0.264 20
1H6W B 0.108 76
1H9I B 0.042 44
1HC9 B 0.079 58
1HHI C 0.000 80
1HHJ C 0.000 83
1HHK C 0.015 79
1HJA D 0.048 56
1HKD C 0.019 79
1HKD D 0.026 79
1HOC C 0.127 84
1HQQ E 0.119 51
1HQQ F 0.128 42
1HQQ G 0.162 50
1HQQ H 0.116 39
1HSA C 0.000 77
1HTM D 0.234 60
1HTM E 0.000 63
1HTM F 0.000 62
1HTR B 0.123 57
1HUC B 0.102 69
1HXE C 0.050 53
1HXF C 0.059 51
1HXL C 0.195 39
1HXL D 0.252 37
1HXZ C 0.274 39
1HXZ D 0.215 40
1HY2 E 0.100 49
1HY2 F 0.109 51
1HY2 G 0.261 50
1HY2 H 0.088 43
1I1Y C 0.000 82
1I31 B 0.086 51
1I4F C 0.026 78
1I4O C 0.000 49
1I4O D 0.067 53
1I51 E 0.039 51
1I51 F 0.016 51
1I7R C 0.020 77
1I7U C 0.000 83
1I8I C 0.041 61
1I8K C 0.056 61
1IAK C 0.074 71
1ICF F 0.106 72
1IHJ B 0.052 61
1IID B 0.113 69
1IJU A 0.372 14
1IJU B 0.440 14
1IK9 C 0.150 44
1IM3 D 0.082 80
1INQ C 0.178 82
1IQ5 B 0.014 72
1IR3 B 0.065 67
1IRQ A 0.240 46
1IRQ B 0.279 47
1ISQ B 0.217 51
1IWQ B 0.057 69
1IZA C 0.305 35
1IZA D 0.143 47
1IZB A 0.279 54
1IZB B 0.287 56
1IZB C 0.283 52
1IZB D 0.229 56
1J19 B 0.356 40
1J2J B 0.307 23
1J2X B 0.242 43
1J73 A 0.288 56
1J7Z B 0.164 53
1J80 B 0.221 53
1J81 B 0.174 55
1J82 B 0.185 53
1J8H E 0.008 81
1JAC C 0.154 57
1JAC D 0.204 58
1JBP B 0.184 54
1JBU C 0.239 55
1JCA A 0.230 56
1JCA C 0.178 51
1JCA D 0.297 38
1JCS C 0.000 71
1JD5 B 0.007 52
1JDH B 0.050 53
1JDP C 0.000 69
1JF1 C 0.072 84
1JGD C 0.015 78
1JGE C 0.000 79
1JHT C 0.091 82
1JK4 B 0.231 61
1JK8 C 0.090 70
1JMT B 0.285 41
1JOT B 0.441 36
1JPF C 0.019 82
1JPG C 0.030 85
1JPL C 0.000 57
1JPL D 0.010 59
1JQ9 C 0.000 91
1JRR B 0.002 93
1JUF C 0.167 81
1JUQ E 0.013 59
1JUQ F 0.001 56
1JW6 B 0.440 44
1JWG B 0.106 59
1JWU D 0.013 72
1JWY C 0.000 70
1JX2 C 0.000 71
1JXP C 0.008 81
1JXP D 0.000 85
1K3A B 0.025 66
1K4W B 0.082 52
1K5N C 0.000 82
1K74 C 0.073 42
1K74 D 0.289 54
1K7L B 0.049 51
1K8D C 0.000 79
1KC5 C 0.018 62
1KCS C 0.180 64
1KJ3 C 0.000 85
1KJ7 C 0.011 81
1KJF C 0.080 72
1KJG C 0.033 83
1KJH C 0.068 77
1KJM C 0.096 87
1KJV C 0.083 82
1KL3 E 0.004 73
1KL3 F 0.006 76
1KL3 G 0.004 76
1KL3 H 0.007 75
1KL5 E 0.039 66
1KL5 F 0.001 77
1KL5 G 0.031 78
1KL5 H 0.020 69
1KLG D 0.012 70
1KLU D 0.011 70
1KPU C 0.049 87
1KPV C 0.074 85
1KRL A 0.218 41
1KRL B 0.276 45
1KU8 E 0.071 66
1KU8 F 0.070 74
1KU8 G 0.007 73
1KU8 H 0.000 77
1KUJ E 0.065 69
1KUJ F 0.055 74
1KUJ G 0.007 74
1KUJ H 0.000 79
1KY6 B 0.221 55
1KY7 B 0.107 53
1KYD B 0.171 45
1KYF B 0.144 45
1KYU B 0.214 45
1KZO C 0.000 68
1KZP C 0.000 67
1L2I C 0.166 51
1L2I D 0.307 45
1L3R B 0.214 56
1L6X B 0.174 34
1L7Z B 0.000 62
1LB5 B 0.148 55
1LB6 B 0.063 56
1LD9 C 0.224 79
1LEG C 0.167 82
1LEK C 0.131 84
1LEN C 0.024 79
1LEN D 0.040 79
1LES C 0.034 79
1LES D 0.031 80
1LEW B 0.057 47
1LEZ B 0.118 53
1LF8 B 0.023 58
1LGH C 0.090 19
1LGH D 0.114 21
1LHC C 0.068 55
1LHD C 0.057 52
1LHE C 0.041 55
1LHF C 0.051 54
1LHG C 0.034 52
1LJ2 C 0.222 42
1LJ2 D 0.059 43
1LK2 C 0.103 85
1LMW B 0.022 43
1LOA C 0.051 78
1LOA D 0.003 78
1LOB B 0.056 79
1LOD B 0.054 79
1LOE B 0.034 80
1LOF B 0.032 79
1LOG B 0.025 79
1LP9 E 0.000 88
1LPH A 0.288 33
1LPH B 0.141 52
1LQ8 B 0.000 77
1LVB C 0.004 80
1LVB D 0.000 78
1LVM C 0.109 83
1LVM D 0.010 85
1LVM E 0.188 52
1M05 C 0.068 87
1M26 E 0.055 71
1M26 F 0.000 72
1M26 G 0.028 73
1M26 H 0.043 72
1M27 C 0.085 60
1M2Z C 0.232 35
1M2Z D 0.247 36
1M45 B 0.311 61
1M46 B 0.142 40
1M56 D 0.000 18
1M5A A 0.312 57
1M5A C 0.299 54
1M5A D 0.254 54
1M6O C 0.000 81
1M7E B 0.016 65
1M93 C 0.024 76
1MCT B 0.161 45
1MCV B 0.217 50
1MF4 B 0.198 74
1MFG B 0.260 50
1MFL B 0.196 61
1MHC E 0.228 75
1MHC F 0.154 78
1MHW B 0.041 73
1MI5 E 0.000 79
1MIZ B 0.547 16
1MK7 B 0.200 41
1MOX C 0.097 46
1MOX D 0.032 46
1MPJ A 0.255 36
1MPJ B 0.094 53
1MSO A 0.274 57
1MSO B 0.349 54
1MSO C 0.301 54
1MSO D 0.235 52
1MT7 C 0.038 80
1MT8 C 0.023 78
1MT9 C 0.133 69
1MTP B 0.035 81
1MUJ C 0.045 69
1MV9 B 0.294 54
1MVC B 0.341 49
1MVF B 0.090 15
1MVU C 0.133 48
1MWA E 0.000 90
1MXE B 0.219 67
1MYK A 0.105 47
1MYK B 0.110 48
1MYL A 0.060 45
1MYL B 0.094 44
1MZN C 0.374 48
1MZN D 0.011 50
1MZW B 0.244 28
1N0W B 0.242 36
1N12 B 0.148 77
1N2D C 0.106 67
1N2R C 0.000 79
1N4H B 0.118 51
1N4M B 0.118 64
1N64 C 0.131 46
1N7F C 0.340 54
1N7F D 0.101 54
1N8O D 0.000 53
1NAN E 0.000 86
1NAN F 0.000 83
1NB5 C 0.030 39
1NCQ D 0.000 57
1NIW C 0.012 60
1NIW D 0.071 60
1NLN B 0.097 62
1NQ7 B 0.096 52
1NRL C 0.106 47
1NRL D 0.261 45
1NRR C 0.062 49
1NRS C 0.037 42
1NTV B 0.153 65
1NU2 B 0.123 66
1NVQ B 0.000 65
1NVR B 0.000 63
1NVS B 0.000 63
1NX0 C 0.062 65
1NX0 D 0.004 62
1NX0 E 0.077 47
1NX1 C 0.054 66
1NX1 D 0.001 66
1O3P B 0.191 50
1O5A B 0.161 50
1O5B B 0.182 51
1O5C B 0.189 53
1O6K B 0.051 64
1O6L B 0.043 62
1O9U B 0.228 44
1OAI B 0.459 41
1OBY C 0.000 66
1OBY D 0.000 61
1OC0 B 0.032 31
1OEB B 0.282 48
1OF2 C 0.102 77
1OFS C 0.023 79
1OFS D 0.034 79
1OGA E 0.000 92
1OGT C 0.078 76
1OJ5 B 0.275 32
1OK7 C 0.092 64
1OKH A 0.403 13
1OKH B 0.355 13
1OKV C 0.384 53
1OM9 C 0.183 55
1OM9 D 0.211 49
1OQN C 0.092 61
1OQN D 0.069 65
1OQO B 0.224 34
1ORY B 0.199 56
1OSV B 0.357 45
1OSV C 0.168 40
1OSZ C 0.051 84
1OU8 B 0.151 51
1OU8 C 0.054 0
1OV3 C 0.089 66
1OV3 D 0.109 63
1OV9 A 0.285 41
1OV9 B 0.402 42
1OW6 D 0.243 21
1OW6 E 0.000 37
1OX1 B 0.054 63
1OXG B 0.521 42
1OYT C 0.093 59
1P4B C 0.135 55
1P7V B 0.002 71
1P7W B 0.002 74
1P9U C 0.000 74
1PCX B 0.029 69
1PFG B 0.016 69
1PIP B 0.266 44
1PJM B 0.000 60
1PJN B 0.000 56
1PPE B 0.192 46
1PQ1 B 0.325 40
1PU9 B 0.204 57
1PXD B 0.424 39
1PYU D 0.207 59
1PZ5 C 0.062 64
1PZL B 0.102 41
1Q1J F 0.000 58
1Q1S B 0.000 62
1Q1S C 0.000 61
1Q1T B 0.000 63
1Q1T C 0.000 58
1Q2C B 0.038 63
1Q2D B 0.113 65
1Q3P C 0.060 59
1Q3P D 0.044 59
1Q4Q B 0.103 47
1Q4V A 0.255 53
1Q61 B 0.181 55
1Q62 B 0.189 54
1Q8U B 0.187 51
1Q8W B 0.172 50
1Q94 E 0.000 81
1Q94 F 0.000 79
1QD6 C 0.000 61
1QD6 D 0.000 57
1QEW C 0.042 82
1QGK B 0.017 51
1QGR B 0.000 44
1QIY D 0.036 34
1QIY E 0.089 0
1QIY F 0.269 39
1QIY G 0.261 37
1QIY H 0.103 0
1QIY I 0.234 0
1QIZ D 0.037 40
1QIZ E 0.103 0
1QIZ F 0.275 38
1QIZ G 0.293 39
1QIZ H 0.112 11
1QIZ I 0.257 0
1QJ0 A 0.235 53
1QJ0 C 0.312 35
1QJ0 D 0.173 49
1QKZ D 0.259 66
1QLS B 0.166 46
1QMZ E 0.000 55
1QMZ F 0.000 54
1QO3 E 0.127 85
1QR1 C 0.000 85
1QSC D 0.144 62
1QSC E 0.189 60
1QSC F 0.106 62
1QSN B 0.094 65
1QTX B 0.123 75
1QUR C 0.047 47
1QVO E 0.117 78
1QVO F 0.135 74
1QX8 B 0.619 0
1QZ7 B 0.126 44
1R17 B 0.000 79
1R2B D 0.124 57
1R5V C 0.119 70
1R9N C 0.000 80
1RBC B 0.195 52
1RBE B 0.190 53
1RBF B 0.183 53
1RBG B 0.204 52
1RBH B 0.208 52
1RBI B 0.208 52
1RDQ B 0.203 56
1RDT C 0.186 58
1RDT D 0.030 56
1RIW C 0.116 54
1RJK B 0.122 47
1RJY E 0.000 81
1RJY F 0.008 83
1RK1 C 0.092 84
1RK3 B 0.131 45
1RK8 C 0.124 28
1RKG B 0.119 53
1RKH B 0.179 45
1RST B 0.323 44
1RSU B 0.246 57
1RWE A 0.303 55
1RWE C 0.244 50
1RWE D 0.459 39
1RXZ B 0.238 55
1RZX B 0.187 63
1S6C B 0.376 50
1S7Q C 0.073 88
1S7S C 0.059 89
1S7T C 0.077 87
1S7U C 0.097 85
1S7V C 0.109 84
1S7W C 0.138 85
1S7X C 0.097 88
1S8D C 0.014 79
1S9V C 0.091 72
1S9W C 0.124 80
1S9X C 0.130 81
1S9Y C 0.121 82
1SB1 C 0.056 46
1SBW B 0.048 62
1SDX B 0.220 31
1SDZ B 0.245 59
1SE0 B 0.235 56
1SEM C 0.214 50
1SEM D 0.179 50
1SFI B 0.047 62
1SJE D 0.018 69
1SJH D 0.021 70
1SKG B 0.132 72
1SLD B 0.188 64
1SLE C 0.165 54
1SLE D 0.177 53
1SLG C 0.172 53
1SLG D 0.166 57
1SM3 C 0.189 60
1SMF B 0.068 63
1SMH B 0.187 52
1SP4 B 0.132 69
1SP5 C 0.000 85
1SQK B 0.175 38
1SRN B 0.073 70
1SSA B 0.068 71
1SSB B 0.065 69
1SSC B 0.083 68
1SSH B 0.428 42
1STC B 0.128 48
1STR C 0.147 63
1STR D 0.125 59
1STS C 0.133 59
1STS D 0.129 57
1SVE B 0.197 55
1SVF B 0.447 37
1SVH B 0.197 55
1SVZ C 0.000 76
1SVZ D 0.005 77
1SYQ B 0.104 63
1SYS C 0.000 81
1SYV C 0.000 79
1T01 B 0.052 64
1T08 B 0.143 24
1T08 C 0.000 57
1T0F C 0.236 39
1T0F D 0.186 43
1T0J C 0.134 49
1T0M C 0.014 76
1T0N C 0.000 79
1T1W C 0.014 82
1T1X C 0.004 83
1T1Y C 0.013 82
1T1Z C 0.001 86
1T20 C 0.010 83
1T21 C 0.004 83
1T22 C 0.077 81
1T3L B 0.016 52
1T4F B 0.171 53
1T4U B 0.089 57
1T4V B 0.105 57
1T5W C 0.080 75
1T5X D 0.002 74
1T5Z B 0.136 54
1T63 B 0.241 48
1T65 B 0.185 40
1T6F A 0.314 33
1T6F B 0.414 33
1T6O B 0.248 40
1T73 B 0.129 61
1T74 B 0.020 52
1T76 B 0.205 50
1T79 B 0.017 56
1T7F B 0.135 53
1T7M B 0.107 51
1T7R B 0.065 61
1TBZ B 0.120 54
1TDV B 0.113 25
1TET C 0.144 52
1TFC C 0.000 49
1TFC D 0.055 51
1TG4 B 0.233 54
1THR C 0.044 54
1THS C 0.057 46
1TJG C 0.009 64
1TJH C 0.094 53
1TJI C 0.089 48
1TJK B 0.241 54
1TMC C 0.106 78
1TMT C 0.194 53
1TN6 C 0.000 66
1TN7 C 0.000 62
1TN8 C 0.000 68
1TOQ C 0.000 54
1TOQ D 0.000 56
1TP3 B 0.286 52
1TP5 B 0.350 54
1TRZ A 0.280 36
1TRZ B 0.161 52
1TSQ C 0.036 77
