 1CE1_HL 2HRP_HL 2QHR_HL 3BKJ_HL 3DRQ_AB 3GO1_HL 3IDI_AB 4G6A_HL 4GW1_DC 4J8R_DC 4JZO_GH 4XGZ_WX 4ZTO_IM
1CE1_HL 1.00 0.56 0.45 0.55 0.25 0.59 0.25 0.75 0.75 0.58 0.70 0.79 0.52
2HRP_HL 0.56 1.00 0.57 0.69 0.23 0.45 0.23 0.61 0.56 0.72 0.53 0.62 0.52
2QHR_HL 0.45 0.57 1.00 0.51 0.23 0.52 0.23 0.44 0.44 0.51 0.45 0.50 0.47
3BKJ_HL 0.55 0.69 0.51 1.00 0.21 0.49 0.22 0.57 0.57 0.67 0.50 0.54 0.50
3DRQ_AB 0.25 0.23 0.23 0.21 1.00 0.27 1.00 0.25 0.24 0.21 0.26 0.29 0.24
3GO1_HL 0.59 0.45 0.52 0.49 0.27 1.00 0.28 0.57 0.55 0.47 0.60 0.55 0.47
3IDI_AB 0.25 0.23 0.23 0.22 1.00 0.28 1.00 0.25 0.24 0.21 0.26 0.28 0.24
4G6A_HL 0.75 0.61 0.44 0.57 0.25 0.57 0.25 1.00 0.74 0.53 0.67 0.74 0.51
4GW1_DC 0.75 0.56 0.44 0.57 0.24 0.55 0.24 0.74 1.00 0.55 0.69 0.75 0.50
4J8R_DC 0.58 0.72 0.51 0.67 0.21 0.47 0.21 0.53 0.55 1.00 0.56 0.60 0.50
4JZO_GH 0.70 0.53 0.45 0.50 0.26 0.60 0.26 0.67 0.69 0.56 1.00 0.72 0.48
4XGZ_WX 0.79 0.62 0.50 0.54 0.29 0.55 0.28 0.74 0.75 0.60 0.72 1.00 0.55
4ZTO_IM 0.52 0.52 0.47 0.50 0.24 0.47 0.24 0.51 0.50 0.50 0.48 0.55 1.00
