 1JXP_B 1W3C_B 2GVF_A 2O8M_A 2QV1_B 3KEE_A 3M5N_D 3M5O_B 3P8N_B 3RC4_A 3RC5_A 4A1T_B 4A1V_A 4A1X_B 4JMY_B
1JXP_B 1.00 0.94 0.86 0.86 0.87 0.99 0.76 0.76 0.94 0.76 0.76 0.91 0.93 0.91 0.94
1W3C_B 0.94 1.00 0.83 0.83 0.84 0.94 0.72 0.72 0.95 0.72 0.72 0.86 0.87 0.86 0.95
2GVF_A 0.86 0.83 1.00 0.99 0.98 0.87 0.82 0.82 0.87 0.82 0.82 0.82 0.83 0.82 0.87
2O8M_A 0.86 0.83 0.99 1.00 0.98 0.86 0.82 0.82 0.86 0.82 0.83 0.81 0.83 0.81 0.86
2QV1_B 0.87 0.84 0.98 0.98 1.00 0.87 0.81 0.81 0.87 0.81 0.82 0.81 0.83 0.81 0.87
3KEE_A 0.99 0.94 0.87 0.86 0.87 1.00 0.76 0.76 0.95 0.76 0.77 0.91 0.93 0.91 0.95
3M5N_D 0.76 0.72 0.82 0.82 0.81 0.76 1.00 1.00 0.74 0.99 0.99 0.76 0.76 0.76 0.74
3M5O_B 0.76 0.72 0.82 0.82 0.81 0.76 1.00 1.00 0.74 0.99 0.99 0.76 0.76 0.76 0.74
3P8N_B 0.94 0.95 0.87 0.86 0.87 0.95 0.74 0.74 1.00 0.74 0.75 0.88 0.90 0.89 1.00
3RC4_A 0.76 0.72 0.82 0.82 0.81 0.76 0.99 0.99 0.74 1.00 0.99 0.75 0.75 0.76 0.74
3RC5_A 0.76 0.72 0.82 0.83 0.82 0.77 0.99 0.99 0.75 0.99 1.00 0.76 0.76 0.76 0.75
4A1T_B 0.91 0.86 0.82 0.81 0.81 0.91 0.76 0.76 0.88 0.75 0.76 1.00 0.98 0.99 0.88
4A1V_A 0.93 0.87 0.83 0.83 0.83 0.93 0.76 0.76 0.90 0.75 0.76 0.98 1.00 0.98 0.90
4A1X_B 0.91 0.86 0.82 0.81 0.81 0.91 0.76 0.76 0.89 0.76 0.76 0.99 0.98 1.00 0.89
4JMY_B 0.94 0.95 0.87 0.86 0.87 0.95 0.74 0.74 1.00 0.74 0.75 0.88 0.90 0.89 1.00
