 1Q3P_B 3DIW_B 3SFJ_C 4E3B_B 4NNM_B
1Q3P_B 1.00 0.23 0.23 0.23 0.21
3DIW_B 0.23 1.00 0.96 0.96 0.95
3SFJ_C 0.23 0.96 1.00 0.98 0.93
4E3B_B 0.23 0.96 0.98 1.00 0.91
4NNM_B 0.21 0.95 0.93 0.91 1.00
