 1KY7_A 1KYD_A 1KYF_A 1W80_A 2G30_A 2VJ0_A
1KY7_A 1.00 1.00 1.00 0.96 0.13 0.96
1KYD_A 1.00 1.00 1.00 0.96 0.14 0.96
1KYF_A 1.00 1.00 1.00 0.96 0.13 0.96
1W80_A 0.96 0.96 0.96 1.00 0.13 0.99
2G30_A 0.13 0.14 0.13 0.13 1.00 0.13
2VJ0_A 0.96 0.96 0.96 0.99 0.13 1.00
