 1CDK_B 1O6L_A 1Q8W_A 1SMH_A 1STC_E 3E8E_P 3L9L_B 3L9N_A 3P0M_A 3QAM_E 3QKK_A 3X2V_A 4DC2_A 4DH7_A 4O22_A 4UJA_A 4WB6_B 4WIH_A 4XW5_A 4XW6_A
1CDK_B 1.00 0.37 0.96 0.96 0.96 0.98 0.97 0.95 0.97 0.95 0.39 0.94 0.34 0.94 0.94 0.97 0.97 0.94 0.95 0.95
1O6L_A 0.37 1.00 0.38 0.38 0.38 0.37 0.38 0.39 0.38 0.36 0.84 0.39 0.46 0.38 0.38 0.38 0.37 0.37 0.38 0.38
1Q8W_A 0.96 0.38 1.00 0.95 1.00 0.98 0.99 0.98 0.99 0.93 0.39 0.97 0.34 0.97 0.97 0.99 0.97 0.93 0.98 0.98
1SMH_A 0.96 0.38 0.95 1.00 0.95 0.96 0.95 0.94 0.95 0.96 0.39 0.92 0.32 0.92 0.92 0.95 0.95 0.96 0.93 0.93
1STC_E 0.96 0.38 1.00 0.95 1.00 0.98 0.99 0.98 0.99 0.93 0.40 0.97 0.34 0.97 0.97 0.99 0.97 0.93 0.97 0.97
3E8E_P 0.98 0.37 0.98 0.96 0.98 1.00 0.98 0.96 0.98 0.95 0.39 0.95 0.34 0.95 0.95 0.98 0.99 0.95 0.96 0.96
3L9L_B 0.97 0.38 0.99 0.95 0.99 0.98 1.00 0.98 0.99 0.95 0.39 0.96 0.34 0.97 0.97 1.00 0.99 0.95 0.97 0.97
3L9N_A 0.95 0.39 0.98 0.94 0.98 0.96 0.98 1.00 0.98 0.92 0.41 0.96 0.34 0.96 0.95 0.98 0.96 0.92 0.96 0.96
3P0M_A 0.97 0.38 0.99 0.95 0.99 0.98 0.99 0.98 1.00 0.94 0.40 0.97 0.35 0.97 0.97 1.00 0.98 0.94 0.98 0.98
3QAM_E 0.95 0.36 0.93 0.96 0.93 0.95 0.95 0.92 0.94 1.00 0.37 0.95 0.33 0.95 0.95 0.94 0.95 0.97 0.96 0.96
3QKK_A 0.39 0.84 0.39 0.39 0.40 0.39 0.39 0.41 0.40 0.37 1.00 0.39 0.44 0.39 0.39 0.40 0.39 0.38 0.39 0.39
3X2V_A 0.94 0.39 0.97 0.92 0.97 0.95 0.96 0.96 0.97 0.95 0.39 1.00 0.35 0.99 0.99 0.96 0.95 0.93 0.99 0.99
4DC2_A 0.34 0.46 0.34 0.32 0.34 0.34 0.34 0.34 0.35 0.33 0.44 0.35 1.00 0.35 0.35 0.35 0.34 0.33 0.35 0.35
4DH7_A 0.94 0.38 0.97 0.92 0.97 0.95 0.97 0.96 0.97 0.95 0.39 0.99 0.35 1.00 0.99 0.97 0.96 0.94 1.00 1.00
4O22_A 0.94 0.38 0.97 0.92 0.97 0.95 0.97 0.95 0.97 0.95 0.39 0.99 0.35 0.99 1.00 0.97 0.96 0.94 0.99 0.99
4UJA_A 0.97 0.38 0.99 0.95 0.99 0.98 1.00 0.98 1.00 0.94 0.40 0.96 0.35 0.97 0.97 1.00 0.99 0.94 0.97 0.97
4WB6_B 0.97 0.37 0.97 0.95 0.97 0.99 0.99 0.96 0.98 0.95 0.39 0.95 0.34 0.96 0.96 0.99 1.00 0.95 0.96 0.96
4WIH_A 0.94 0.37 0.93 0.96 0.93 0.95 0.95 0.92 0.94 0.97 0.38 0.93 0.33 0.94 0.94 0.94 0.95 1.00 0.94 0.94
4XW5_A 0.95 0.38 0.98 0.93 0.97 0.96 0.97 0.96 0.98 0.96 0.39 0.99 0.35 1.00 0.99 0.97 0.96 0.94 1.00 1.00
4XW6_A 0.95 0.38 0.98 0.93 0.97 0.96 0.97 0.96 0.98 0.96 0.39 0.99 0.35 1.00 0.99 0.97 0.96 0.94 1.00 1.00
