,3TWR_D_135_H_1.pdb,4LG6_A_135_B_2.pdb,3UXG_A_135_B_2.pdb,3TWU_A_135_B_1.pdb,3TWV_D_135_H_1.pdb,3TWW_AB_135_C_1.pdb,3V30_A_135_B_2.pdb,3TWT_D_135_H_1.pdb,3TWW_AB_135_D_3.pdb,3TWX_B_135_D_1.pdb,3TWS_D_135_H_1.pdb,4QQI_A_135_X_2.pdb,4QQM_C_135_D_2.pdb,3V2O_A_135_B_2.pdb
3TWR_D_135_H_1.pdb,1.0,0.3492063492063492,0.32275132275132273,0.9682539682539683,0.9894179894179894,0.9947089947089947,0.328042328042328,0.9894179894179894,0.9947089947089947,1.0,0.9841269841269841,0.2804232804232804,0.328042328042328,0.36507936507936506
4LG6_A_135_B_2.pdb,0.3492063492063492,1.0,0.6984126984126984,0.35978835978835977,0.35978835978835977,0.3544973544973545,0.6825396825396826,0.3386243386243386,0.3544973544973545,0.3492063492063492,0.36507936507936506,0.9312169312169312,0.6931216931216931,0.9682539682539683
3UXG_A_135_B_2.pdb,0.32275132275132273,0.6984126984126984,1.0,0.3333333333333333,0.3333333333333333,0.328042328042328,0.9576719576719577,0.31216931216931215,0.328042328042328,0.32275132275132273,0.3386243386243386,0.6296296296296297,0.9682539682539683,0.6984126984126984
3TWU_A_135_B_1.pdb,0.9682539682539683,0.35978835978835977,0.3333333333333333,1.0,0.9788359788359788,0.9735449735449735,0.3386243386243386,0.9576719576719577,0.9735449735449735,0.9682539682539683,0.9735449735449735,0.291005291005291,0.3386243386243386,0.37566137566137564
3TWV_D_135_H_1.pdb,0.9894179894179894,0.35978835978835977,0.3333333333333333,0.9788359788359788,1.0,0.9947089947089947,0.3386243386243386,0.9788359788359788,0.9947089947089947,0.9894179894179894,0.9947089947089947,0.291005291005291,0.3386243386243386,0.37566137566137564
3TWW_AB_135_C_1.pdb,0.9947089947089947,0.3544973544973545,0.328042328042328,0.9735449735449735,0.9947089947089947,1.0,0.3333333333333333,0.9841269841269841,1.0,0.9947089947089947,0.9894179894179894,0.2857142857142857,0.3333333333333333,0.37037037037037035
3V30_A_135_B_2.pdb,0.328042328042328,0.6825396825396826,0.9576719576719577,0.3386243386243386,0.3386243386243386,0.3333333333333333,1.0,0.31746031746031744,0.3333333333333333,0.328042328042328,0.3439153439153439,0.6137566137566137,0.9788359788359788,0.6984126984126984
3TWT_D_135_H_1.pdb,0.9894179894179894,0.3386243386243386,0.31216931216931215,0.9576719576719577,0.9788359788359788,0.9841269841269841,0.31746031746031744,1.0,0.9841269841269841,0.9894179894179894,0.9735449735449735,0.2698412698412698,0.31746031746031744,0.3544973544973545
3TWW_AB_135_D_3.pdb,0.9947089947089947,0.3544973544973545,0.328042328042328,0.9735449735449735,0.9947089947089947,1.0,0.3333333333333333,0.9841269841269841,1.0,0.9947089947089947,0.9894179894179894,0.2857142857142857,0.3333333333333333,0.37037037037037035
3TWX_B_135_D_1.pdb,1.0,0.3492063492063492,0.32275132275132273,0.9682539682539683,0.9894179894179894,0.9947089947089947,0.328042328042328,0.9894179894179894,0.9947089947089947,1.0,0.9841269841269841,0.2804232804232804,0.328042328042328,0.36507936507936506
3TWS_D_135_H_1.pdb,0.9841269841269841,0.36507936507936506,0.3386243386243386,0.9735449735449735,0.9947089947089947,0.9894179894179894,0.3439153439153439,0.9735449735449735,0.9894179894179894,0.9841269841269841,1.0,0.2962962962962963,0.3439153439153439,0.38095238095238093
4QQI_A_135_X_2.pdb,0.2804232804232804,0.9312169312169312,0.6296296296296297,0.291005291005291,0.291005291005291,0.2857142857142857,0.6137566137566137,0.2698412698412698,0.2857142857142857,0.2804232804232804,0.2962962962962963,1.0,0.6243386243386243,0.8994708994708994
4QQM_C_135_D_2.pdb,0.328042328042328,0.6931216931216931,0.9682539682539683,0.3386243386243386,0.3386243386243386,0.3333333333333333,0.9788359788359788,0.31746031746031744,0.3333333333333333,0.328042328042328,0.3439153439153439,0.6243386243386243,1.0,0.6984126984126984
3V2O_A_135_B_2.pdb,0.36507936507936506,0.9682539682539683,0.6984126984126984,0.37566137566137564,0.37566137566137564,0.37037037037037035,0.6984126984126984,0.3544973544973545,0.37037037037037035,0.36507936507936506,0.38095238095238093,0.8994708994708994,0.6984126984126984,1.0
