,4Z9V_A_91_E_4.pdb,4Z9V_A_91_G_3.pdb,3IO8_C_91_D_1.pdb,4Z9V_A_91_H_2.pdb,4Z9V_A_91_C_1.pdb,2P1L_A_91_B_1.pdb,2YQ7_A_91_B_1.pdb,4Z9V_A_91_F_5.pdb,3R85_D_91_H_1.pdb,4Z9V_B_91_D_1.pdb
4Z9V_A_91_E_4.pdb,1.0,1.0,0.7619047619047619,1.0,1.0,0.8809523809523809,0.7976190476190477,1.0,0.8392857142857143,0.9702380952380952
4Z9V_A_91_G_3.pdb,1.0,1.0,0.7619047619047619,1.0,1.0,0.8809523809523809,0.7976190476190477,1.0,0.8392857142857143,0.9702380952380952
3IO8_C_91_D_1.pdb,0.7619047619047619,0.7619047619047619,1.0,0.7619047619047619,0.7619047619047619,0.8809523809523809,0.8809523809523809,0.7619047619047619,0.8809523809523809,0.7797619047619048
4Z9V_A_91_H_2.pdb,1.0,1.0,0.7619047619047619,1.0,1.0,0.8809523809523809,0.7976190476190477,1.0,0.8392857142857143,0.9702380952380952
4Z9V_A_91_C_1.pdb,1.0,1.0,0.7619047619047619,1.0,1.0,0.8809523809523809,0.7976190476190477,1.0,0.8392857142857143,0.9702380952380952
2P1L_A_91_B_1.pdb,0.8809523809523809,0.8809523809523809,0.8809523809523809,0.8809523809523809,0.8809523809523809,1.0,0.9166666666666666,0.8809523809523809,0.9523809523809523,0.8988095238095238
2YQ7_A_91_B_1.pdb,0.7976190476190477,0.7976190476190477,0.8809523809523809,0.7976190476190477,0.7976190476190477,0.9166666666666666,1.0,0.7976190476190477,0.9523809523809523,0.8154761904761905
4Z9V_A_91_F_5.pdb,1.0,1.0,0.7619047619047619,1.0,1.0,0.8809523809523809,0.7976190476190477,1.0,0.8392857142857143,0.9702380952380952
3R85_D_91_H_1.pdb,0.8392857142857143,0.8392857142857143,0.8809523809523809,0.8392857142857143,0.8392857142857143,0.9523809523809523,0.9523809523809523,0.8392857142857143,1.0,0.8511904761904762
4Z9V_B_91_D_1.pdb,0.9702380952380952,0.9702380952380952,0.7797619047619048,0.9702380952380952,0.9702380952380952,0.8988095238095238,0.8154761904761905,0.9702380952380952,0.8511904761904762,1.0
