 1M7E_C 1NTV_A 1OQN_A 3DXE_C 3SO6_A
1M7E_C 1.00 0.59 0.62 0.13 0.16
1NTV_A 0.59 1.00 0.95 0.11 0.20
1OQN_A 0.62 0.95 1.00 0.11 0.20
3DXE_C 0.13 0.11 0.11 1.00 0.18
3SO6_A 0.16 0.20 0.20 0.18 1.00
