 1A7C_A 1AS4_A 1JRR_A 1LQ8_G 1MTP_A 2ARQ_A 2ARR_A 2H4P_A 2XN3_A 2XN5_A 3CAA_A 3DY0_A 3F02_B 3NDD_A 4AFX_A 4BB2_A 4YIA_A
1A7C_A 1.00 0.25 0.30 0.24 0.21 0.30 0.30 0.27 0.23 0.23 0.25 0.24 0.28 0.26 0.24 0.23 0.23
1AS4_A 0.25 1.00 0.30 0.49 0.26 0.30 0.30 0.33 0.46 0.45 0.99 0.49 0.26 0.47 0.33 0.49 0.46
1JRR_A 0.30 0.30 1.00 0.26 0.22 0.98 0.98 0.38 0.26 0.26 0.30 0.26 0.25 0.29 0.25 0.29 0.26
1LQ8_G 0.24 0.49 0.26 1.00 0.26 0.26 0.27 0.31 0.41 0.40 0.49 0.99 0.26 0.47 0.31 0.43 0.41
1MTP_A 0.21 0.26 0.22 0.26 1.00 0.22 0.22 0.25 0.21 0.21 0.27 0.26 0.22 0.24 0.22 0.22 0.21
2ARQ_A 0.30 0.30 0.98 0.26 0.22 1.00 0.99 0.38 0.26 0.26 0.30 0.26 0.26 0.29 0.24 0.29 0.26
2ARR_A 0.30 0.30 0.98 0.27 0.22 0.99 1.00 0.38 0.26 0.26 0.30 0.27 0.26 0.29 0.24 0.29 0.26
2H4P_A 0.27 0.33 0.38 0.31 0.25 0.38 0.38 1.00 0.31 0.31 0.33 0.31 0.31 0.30 0.27 0.27 0.31
2XN3_A 0.23 0.46 0.26 0.41 0.21 0.26 0.26 0.31 1.00 0.99 0.46 0.40 0.28 0.45 0.30 0.43 1.00
2XN5_A 0.23 0.45 0.26 0.40 0.21 0.26 0.26 0.31 0.99 1.00 0.45 0.40 0.28 0.44 0.30 0.42 0.99
3CAA_A 0.25 0.99 0.30 0.49 0.27 0.30 0.30 0.33 0.46 0.45 1.00 0.49 0.26 0.47 0.32 0.49 0.46
3DY0_A 0.24 0.49 0.26 0.99 0.26 0.26 0.27 0.31 0.40 0.40 0.49 1.00 0.26 0.47 0.31 0.43 0.40
3F02_B 0.28 0.26 0.25 0.26 0.22 0.26 0.26 0.31 0.28 0.28 0.26 0.26 1.00 0.29 0.24 0.26 0.28
3NDD_A 0.26 0.47 0.29 0.47 0.24 0.29 0.29 0.30 0.45 0.44 0.47 0.47 0.29 1.00 0.31 0.43 0.45
4AFX_A 0.24 0.33 0.25 0.31 0.22 0.24 0.24 0.27 0.30 0.30 0.32 0.31 0.24 0.31 1.00 0.26 0.30
4BB2_A 0.23 0.49 0.29 0.43 0.22 0.29 0.29 0.27 0.43 0.42 0.49 0.43 0.26 0.43 0.26 1.00 0.43
4YIA_A 0.23 0.46 0.26 0.41 0.21 0.26 0.26 0.31 1.00 0.99 0.46 0.40 0.28 0.45 0.30 0.43 1.00
