 1DKZ_A 1U00_A 3QNJ_A 3QNJ_B 4E81_B 4EZN_B 4EZO_A 4EZO_B 4EZP_A 4EZP_B 4EZQ_A 4EZR_A 4EZV_B 4EZW_D 4EZX_B 4EZY_A 4F00_A 4JWC_A 4JWC_B 4JWD_B 4JWE_A 4JWE_B 4JWI_A 4PO2_B 4R5I_A
1DKZ_A 1.00 0.36 0.94 0.96 0.98 0.99 0.98 1.00 0.98 0.96 0.99 0.98 0.99 0.99 0.98 0.98 0.98 0.99 0.94 0.95 0.99 0.93 0.99 0.44 0.96
1U00_A 0.36 1.00 0.35 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.31 0.36
3QNJ_A 0.94 0.35 1.00 0.97 0.94 0.95 0.97 0.95 0.97 0.94 0.94 0.93 0.94 0.94 0.97 0.93 0.93 0.96 0.95 0.95 0.96 0.95 0.96 0.43 0.91
3QNJ_B 0.96 0.36 0.97 1.00 0.97 0.98 0.99 0.98 0.99 0.97 0.95 0.96 0.98 0.98 0.99 0.96 0.91 0.99 0.99 0.99 0.99 0.99 0.99 0.42 0.94
4E81_B 0.98 0.36 0.94 0.97 1.00 0.99 0.97 0.99 0.97 1.00 0.99 1.00 0.99 0.99 0.97 1.00 1.00 0.98 0.97 0.98 0.98 0.97 0.98 0.44 0.97
4EZN_B 0.99 0.36 0.95 0.98 0.99 1.00 0.98 1.00 0.98 0.99 0.98 0.99 1.00 1.00 0.98 0.98 0.97 0.99 0.98 1.00 0.99 0.98 0.99 0.43 0.95
4EZO_A 0.98 0.36 0.97 0.99 0.97 0.98 1.00 0.98 1.00 0.97 0.98 0.97 0.98 0.98 1.00 0.96 0.96 0.99 1.00 0.99 0.99 1.00 0.99 0.44 0.95
4EZO_B 1.00 0.36 0.95 0.98 0.99 1.00 0.98 1.00 0.98 0.99 0.98 0.97 1.00 1.00 0.98 0.98 0.96 0.99 0.98 1.00 0.99 0.98 0.99 0.43 0.95
4EZP_A 0.98 0.36 0.97 0.99 0.97 0.98 1.00 0.98 1.00 0.97 0.98 0.97 0.98 0.98 1.00 0.96 0.96 0.99 1.00 0.99 0.99 1.00 0.99 0.44 0.95
4EZP_B 0.96 0.36 0.94 0.97 1.00 0.99 0.97 0.99 0.97 1.00 0.98 1.00 1.00 1.00 0.97 0.98 0.98 0.98 0.97 0.99 0.98 0.97 0.98 0.42 0.95
4EZQ_A 0.99 0.36 0.94 0.95 0.99 0.98 0.98 0.98 0.98 0.98 1.00 0.99 1.00 1.00 0.98 0.99 0.99 0.99 0.93 0.99 0.99 0.92 0.99 0.44 0.97
4EZR_A 0.98 0.36 0.93 0.96 1.00 0.99 0.97 0.97 0.97 1.00 0.99 1.00 0.99 0.99 0.97 1.00 1.00 0.98 0.94 0.96 0.98 0.91 0.98 0.44 0.97
4EZV_B 0.99 0.36 0.94 0.98 0.99 1.00 0.98 1.00 0.98 1.00 1.00 0.99 1.00 1.00 0.98 0.99 0.99 0.99 0.98 0.99 0.99 0.98 0.99 0.44 0.97
4EZW_D 0.99 0.36 0.94 0.98 0.99 1.00 0.98 1.00 0.98 1.00 1.00 0.99 1.00 1.00 0.98 0.99 0.99 0.99 0.98 0.99 0.99 0.98 0.99 0.43 0.96
4EZX_B 0.98 0.36 0.97 0.99 0.97 0.98 1.00 0.98 1.00 0.97 0.98 0.97 0.98 0.98 1.00 0.96 0.96 0.99 1.00 0.99 0.99 1.00 0.99 0.43 0.94
4EZY_A 0.98 0.36 0.93 0.96 1.00 0.98 0.96 0.98 0.96 0.98 0.99 1.00 0.99 0.99 0.96 1.00 1.00 0.97 0.91 0.95 0.97 0.91 0.97 0.44 0.97
4F00_A 0.98 0.36 0.93 0.91 1.00 0.97 0.96 0.96 0.96 0.98 0.99 1.00 0.99 0.99 0.96 1.00 1.00 0.97 0.91 0.96 0.97 0.91 0.97 0.44 0.97
4JWC_A 0.99 0.36 0.96 0.99 0.98 0.99 0.99 0.99 0.99 0.98 0.99 0.98 0.99 0.99 0.99 0.97 0.97 1.00 0.99 1.00 1.00 0.99 1.00 0.44 0.95
4JWC_B 0.94 0.36 0.95 0.99 0.97 0.98 1.00 0.98 1.00 0.97 0.93 0.94 0.98 0.98 1.00 0.91 0.91 0.99 1.00 0.99 0.99 1.00 0.99 0.43 0.86
4JWD_B 0.95 0.36 0.95 0.99 0.98 1.00 0.99 1.00 0.99 0.99 0.99 0.96 0.99 0.99 0.99 0.95 0.96 1.00 0.99 1.00 1.00 0.99 1.00 0.43 0.94
4JWE_A 0.99 0.36 0.96 0.99 0.98 0.99 0.99 0.99 0.99 0.98 0.99 0.98 0.99 0.99 0.99 0.97 0.97 1.00 0.99 1.00 1.00 0.99 1.00 0.44 0.95
4JWE_B 0.93 0.36 0.95 0.99 0.97 0.98 1.00 0.98 1.00 0.97 0.92 0.91 0.98 0.98 1.00 0.91 0.91 0.99 1.00 0.99 0.99 1.00 0.99 0.43 0.80
4JWI_A 0.99 0.36 0.96 0.99 0.98 0.99 0.99 0.99 0.99 0.98 0.99 0.98 0.99 0.99 0.99 0.97 0.97 1.00 0.99 1.00 1.00 0.99 1.00 0.44 0.95
4PO2_B 0.44 0.31 0.43 0.42 0.44 0.43 0.44 0.43 0.44 0.42 0.44 0.44 0.44 0.43 0.43 0.44 0.44 0.44 0.43 0.43 0.44 0.43 0.44 1.00 0.43
4R5I_A 0.96 0.36 0.91 0.94 0.97 0.95 0.95 0.95 0.95 0.95 0.97 0.97 0.97 0.96 0.94 0.97 0.97 0.95 0.86 0.94 0.95 0.80 0.95 0.43 1.00
