 1SRN_A 1SSA_A 1SSB_A 3SRN_A 4SRN_A
1SRN_A 1.00 1.00 1.00 1.00 1.00
1SSA_A 1.00 1.00 1.00 1.00 1.00
1SSB_A 1.00 1.00 1.00 1.00 1.00
3SRN_A 1.00 1.00 1.00 1.00 1.00
4SRN_A 1.00 1.00 1.00 1.00 1.00
