 4BXF_A 4BXF_B 4CCN_A 4CCO_A 4Y3O_A
4BXF_A 1.00 0.99 0.31 0.31 0.31
4BXF_B 0.99 1.00 0.31 0.31 0.31
4CCN_A 0.31 0.31 1.00 0.99 0.99
4CCO_A 0.31 0.31 0.99 1.00 0.99
4Y3O_A 0.31 0.31 0.99 0.99 1.00
