 3OBX_A 3R42_A 4EJE_B 4ZNY_A
3OBX_A 1.00 0.18 0.96 0.96
3R42_A 0.18 1.00 0.19 0.19
4EJE_B 0.96 0.19 1.00 0.99
4ZNY_A 0.96 0.19 0.99 1.00
