 1AQD_KJ 1FV1_ED 1IAK_BA 1JK8_BA 1KLG_BA 1KLU_BA 1MUJ_BA 1R5V_DC 1S9V_ED 1SJE_BA 1SJH_BA 1T5W_ED 1UVQ_BA 2NNA_BA 2Q6W_ED 2XN9_ED 3C5J_BA 3PDO_BA 3QXD_ED 4AEN_BA 4H25_ED 4H26_ED 4I5B_ED 4IS6_BA 4MDJ_BA 4OV5_QP 4X5W_BA
1AQD_KJ 1.00 0.94 0.60 0.61 0.99 0.98 0.58 0.78 0.61 0.98 0.98 0.99 0.62 0.61 0.93 0.98 0.93 0.96 0.99 0.98 0.93 0.94 0.96 0.94 0.93 0.99 0.96
1FV1_ED 0.94 1.00 0.59 0.61 0.95 0.96 0.57 0.76 0.60 0.95 0.96 0.96 0.61 0.60 0.92 0.95 0.90 0.94 0.95 0.93 0.91 0.92 0.93 0.94 0.94 0.96 0.93
1IAK_BA 0.60 0.59 1.00 0.73 0.60 0.60 0.88 0.58 0.69 0.60 0.60 0.60 0.71 0.72 0.57 0.60 0.58 0.59 0.60 0.59 0.58 0.59 0.59 0.60 0.60 0.60 0.59
1JK8_BA 0.61 0.61 0.73 1.00 0.61 0.61 0.70 0.59 0.87 0.61 0.61 0.61 0.88 0.96 0.58 0.61 0.59 0.60 0.61 0.60 0.59 0.59 0.60 0.61 0.61 0.61 0.60
1KLG_BA 0.99 0.95 0.60 0.61 1.00 0.99 0.58 0.78 0.61 0.98 0.99 0.99 0.62 0.61 0.93 0.99 0.93 0.97 0.99 0.98 0.93 0.93 0.96 0.94 0.93 0.99 0.97
1KLU_BA 0.98 0.96 0.60 0.61 0.99 1.00 0.58 0.77 0.60 1.00 1.00 1.00 0.61 0.60 0.93 0.99 0.92 0.98 0.99 0.97 0.93 0.94 0.97 0.95 0.94 1.00 0.97
1MUJ_BA 0.58 0.57 0.88 0.70 0.58 0.58 1.00 0.57 0.68 0.58 0.58 0.58 0.69 0.70 0.56 0.58 0.56 0.57 0.58 0.58 0.56 0.57 0.57 0.58 0.58 0.58 0.58
1R5V_DC 0.78 0.76 0.58 0.59 0.78 0.77 0.57 1.00 0.57 0.77 0.77 0.78 0.60 0.58 0.78 0.78 0.77 0.76 0.77 0.77 0.77 0.78 0.76 0.78 0.77 0.77 0.75
1S9V_ED 0.61 0.60 0.69 0.87 0.61 0.60 0.68 0.57 1.00 0.60 0.60 0.60 0.85 0.89 0.58 0.61 0.59 0.59 0.60 0.62 0.59 0.58 0.59 0.59 0.59 0.61 0.60
1SJE_BA 0.98 0.95 0.60 0.61 0.98 1.00 0.58 0.77 0.60 1.00 1.00 1.00 0.61 0.60 0.93 0.99 0.92 0.98 0.99 0.97 0.93 0.94 0.97 0.95 0.94 0.99 0.97
1SJH_BA 0.98 0.96 0.60 0.61 0.99 1.00 0.58 0.77 0.60 1.00 1.00 1.00 0.61 0.60 0.93 0.99 0.92 0.98 0.99 0.97 0.93 0.94 0.97 0.95 0.94 0.99 0.97
1T5W_ED 0.99 0.96 0.60 0.61 0.99 1.00 0.58 0.78 0.60 1.00 1.00 1.00 0.61 0.60 0.93 0.99 0.92 0.97 0.99 0.97 0.92 0.94 0.97 0.95 0.94 0.99 0.97
