 1FCH_A 3CV0_A 3CVL_A 3CVN_A 3CVP_A
1FCH_A 1.00 0.38 0.38 0.38 0.37
3CV0_A 0.38 1.00 0.97 0.97 0.93
3CVL_A 0.38 0.97 1.00 0.97 0.95
3CVN_A 0.38 0.97 0.97 1.00 0.93
3CVP_A 0.37 0.93 0.95 0.93 1.00
