 1CDL_D 1CDM_A 1CM4_A 1IQ5_A 1IWQ_A 1L7Z_A 1NIW_E 1QTX_A 1WRZ_A 1YR5_A 1ZUZ_A 2BE6_B 2BE6_C 2F3Y_A 2F3Z_A 2FOT_A 2HQW_A 2O5G_A 2O60_A 2VAY_A 2Y4V_A 3BXL_A 3BYA_A 3DVE_A 3EWT_A 3GOF_B 3SUI_A 4Q5U_A 4UPU_A
1CDL_D 1.00 0.93 0.97 0.98 0.97 0.98 0.90 0.90 0.96 0.97 0.97 0.98 0.95 0.96 0.97 0.94 0.96 0.96 0.95 0.96 0.97 0.97 0.95 0.97 0.97 0.98 0.97 0.97 0.97
1CDM_A 0.93 1.00 0.93 0.90 0.96 0.94 0.90 0.84 0.90 0.91 0.92 0.95 0.97 0.91 0.92 0.97 0.96 0.90 0.90 0.91 0.94 0.92 0.97 0.96 0.91 0.92 0.91 0.92 0.92
1CM4_A 0.97 0.93 1.00 0.92 0.97 0.96 0.90 0.91 0.97 0.96 0.96 0.96 0.94 0.94 0.95 0.93 0.96 0.97 0.95 0.94 0.97 0.95 0.95 0.96 0.94 0.96 0.95 0.95 0.95
1IQ5_A 0.98 0.90 0.92 1.00 0.97 0.94 0.85 0.85 0.98 0.99 0.99 0.97 0.94 0.99 0.99 0.92 0.92 0.98 0.97 0.99 0.98 0.99 0.90 0.95 0.98 0.99 0.96 0.99 0.99
1IWQ_A 0.97 0.96 0.97 0.97 1.00 0.98 0.91 0.88 0.95 0.95 0.96 0.99 0.98 0.95 0.96 0.94 0.99 0.93 0.94 0.90 0.97 0.96 0.98 0.99 0.95 0.97 0.95 0.96 0.96
1L7Z_A 0.98 0.94 0.96 0.94 0.98 1.00 0.90 0.89 0.97 0.96 0.97 0.99 0.96 0.85 0.86 0.92 0.97 0.97 0.96 0.85 0.99 0.97 0.96 0.98 0.96 0.97 0.97 0.98 0.97
1NIW_E 0.90 0.90 0.90 0.85 0.91 0.90 1.00 0.84 0.89 0.88 0.90 0.91 0.90 0.88 0.88 0.90 0.92 0.89 0.89 0.88 0.90 0.90 0.93 0.92 0.90 0.90 0.90 0.90 0.90
1QTX_A 0.90 0.84 0.91 0.85 0.88 0.89 0.84 1.00 0.92 0.91 0.92 0.86 0.86 0.90 0.89 0.84 0.87 0.93 0.93 0.91 0.90 0.89 0.86 0.88 0.92 0.91 0.93 0.92 0.90
1WRZ_A 0.96 0.90 0.97 0.98 0.95 0.97 0.89 0.92 1.00 0.99 0.99 0.95 0.93 0.99 0.97 0.91 0.94 0.99 0.99 0.99 0.97 0.99 0.93 0.95 0.98 0.98 0.99 0.99 0.98
1YR5_A 0.97 0.91 0.96 0.99 0.95 0.96 0.88 0.91 0.99 1.00 0.99 0.95 0.93 1.00 0.99 0.92 0.95 0.99 0.99 1.00 0.97 0.99 0.94 0.95 0.98 0.99 1.00 0.99 0.99
1ZUZ_A 0.97 0.92 0.96 0.99 0.96 0.97 0.90 0.92 0.99 0.99 1.00 0.97 0.94 0.99 0.99 0.92 0.94 0.98 0.98 0.99 0.97 0.99 0.94 0.96 0.98 0.99 0.99 0.99 0.99
2BE6_B 0.98 0.95 0.96 0.97 0.99 0.99 0.91 0.86 0.95 0.95 0.97 1.00 0.97 0.96 0.97 0.94 0.97 0.95 0.95 0.96 0.97 0.97 0.96 0.99 0.96 0.97 0.96 0.97 0.96
2BE6_C 0.95 0.97 0.94 0.94 0.98 0.96 0.90 0.86 0.93 0.93 0.94 0.97 1.00 0.93 0.94 0.96 0.98 0.92 0.92 0.93 0.96 0.94 0.98 0.98 0.93 0.94 0.93 0.94 0.94
2F3Y_A 0.96 0.91 0.94 0.99 0.95 0.85 0.88 0.90 0.99 1.00 0.99 0.96 0.93 1.00 0.99 0.92 0.86 0.96 0.99 1.00 0.97 0.99 0.92 0.94 0.87 0.99 0.97 0.99 0.99
2F3Z_A 0.97 0.92 0.95 0.99 0.96 0.86 0.88 0.89 0.97 0.99 0.99 0.97 0.94 0.99 1.00 0.92 0.90 0.95 0.97 0.99 0.97 0.99 0.94 0.93 0.97 1.00 0.96 0.99 0.99
2FOT_A 0.94 0.97 0.93 0.92 0.94 0.92 0.90 0.84 0.91 0.92 0.92 0.94 0.96 0.92 0.92 1.00 0.95 0.91 0.91 0.92 0.94 0.92 0.96 0.94 0.90 0.92 0.90 0.92 0.92
2HQW_A 0.96 0.96 0.96 0.92 0.99 0.97 0.92 0.87 0.94 0.95 0.94 0.97 0.98 0.86 0.90 0.95 1.00 0.94 0.93 0.84 0.97 0.95 0.99 0.98 0.94 0.96 0.95 0.95 0.95
2O5G_A 0.96 0.90 0.97 0.98 0.93 0.97 0.89 0.93 0.99 0.99 0.98 0.95 0.92 0.96 0.95 0.91 0.94 1.00 0.97 0.98 0.95 0.99 0.93 0.95 0.99 0.97 0.98 0.99 0.97
2O60_A 0.95 0.90 0.95 0.97 0.94 0.96 0.89 0.93 0.99 0.99 0.98 0.95 0.92 0.99 0.97 0.91 0.93 0.97 1.00 0.99 0.96 0.98 0.93 0.94 0.97 0.97 0.99 0.98 0.97
2VAY_A 0.96 0.91 0.94 0.99 0.90 0.85 0.88 0.91 0.99 1.00 0.99 0.96 0.93 1.00 0.99 0.92 0.84 0.98 0.99 1.00 0.97 0.99 0.85 0.92 0.87 0.99 0.97 0.99 0.99
2Y4V_A 0.97 0.94 0.97 0.98 0.97 0.99 0.90 0.90 0.97 0.97 0.97 0.97 0.96 0.97 0.97 0.94 0.97 0.95 0.96 0.97 1.00 0.98 0.96 0.97 0.97 0.98 0.97 0.98 0.97
3BXL_A 0.97 0.92 0.95 0.99 0.96 0.97 0.90 0.89 0.99 0.99 0.99 0.97 0.94 0.99 0.99 0.92 0.95 0.99 0.98 0.99 0.98 1.00 0.94 0.96 0.99 0.99 0.99 1.00 1.00
3BYA_A 0.95 0.97 0.95 0.90 0.98 0.96 0.93 0.86 0.93 0.94 0.94 0.96 0.98 0.92 0.94 0.96 0.99 0.93 0.93 0.85 0.96 0.94 1.00 0.97 0.94 0.95 0.94 0.94 0.94
3DVE_A 0.97 0.96 0.96 0.95 0.99 0.98 0.92 0.88 0.95 0.95 0.96 0.99 0.98 0.94 0.93 0.94 0.98 0.95 0.94 0.92 0.97 0.96 0.97 1.00 0.95 0.97 0.95 0.96 0.96
3EWT_A 0.97 0.91 0.94 0.98 0.95 0.96 0.90 0.92 0.98 0.98 0.98 0.96 0.93 0.87 0.97 0.90 0.94 0.99 0.97 0.87 0.97 0.99 0.94 0.95 1.00 0.99 0.98 0.99 0.99
3GOF_B 0.98 0.92 0.96 0.99 0.97 0.97 0.90 0.91 0.98 0.99 0.99 0.97 0.94 0.99 1.00 0.92 0.96 0.97 0.97 0.99 0.98 0.99 0.95 0.97 0.99 1.00 0.99 0.99 0.99
3SUI_A 0.97 0.91 0.95 0.96 0.95 0.97 0.90 0.93 0.99 1.00 0.99 0.96 0.93 0.97 0.96 0.90 0.95 0.98 0.99 0.97 0.97 0.99 0.94 0.95 0.98 0.99 1.00 0.99 0.99
4Q5U_A 0.97 0.92 0.95 0.99 0.96 0.98 0.90 0.92 0.99 0.99 0.99 0.97 0.94 0.99 0.99 0.92 0.95 0.99 0.98 0.99 0.98 1.00 0.94 0.96 0.99 0.99 0.99 1.00 1.00
4UPU_A 0.97 0.92 0.95 0.99 0.96 0.97 0.90 0.90 0.98 0.99 0.99 0.96 0.94 0.99 0.99 0.92 0.95 0.97 0.97 0.99 0.97 1.00 0.94 0.96 0.99 0.99 0.99 1.00 1.00
