 4MOY_A 4MP0_C 4V0V_C 4V0W_C 4V0X_A
4MOY_A 1.00 0.99 0.96 0.96 0.97
4MP0_C 0.99 1.00 0.97 0.97 0.97
4V0V_C 0.96 0.97 1.00 1.00 0.99
4V0W_C 0.96 0.97 1.00 1.00 0.99
4V0X_A 0.97 0.97 0.99 0.99 1.00
