 2CE8_A 2CE9_A 2H9M_C 2I3S_E 2QXV_A 2XL2_B 3EG6_A 3EMH_A 3P4F_A 3UVL_A 3UVM_A 3UVN_C 4CY2_A 4CY3_A 4CY5_A 4ERQ_C 4ERY_A 4ERZ_C 4ES0_A 4EWR_A 4GGD_A 4J77_B 4J78_A 4J79_A 4J81_B 4J82_B 4J84_A 4J86_A 4O45_A 4Y7R_A
2CE8_A 1.00 1.00 0.16 0.15 0.12 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.19 0.15 0.14 0.14 0.14 0.14 0.14 0.14 0.17 0.16
2CE9_A 1.00 1.00 0.16 0.15 0.12 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.19 0.14 0.14 0.14 0.14 0.14 0.14 0.14 0.17 0.16
2H9M_C 0.16 0.16 1.00 0.12 0.16 1.00 1.00 0.99 1.00 1.00 1.00 1.00 1.00 0.94 0.94 1.00 1.00 1.00 1.00 1.00 0.25 0.24 0.25 0.25 0.25 0.24 0.25 0.25 1.00 1.00
2I3S_E 0.15 0.15 0.12 1.00 0.10 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.13 0.13 0.12 0.12 0.12 0.12 0.12 0.15 0.13 0.13 0.13 0.13 0.13 0.13 0.13 0.12 0.12
2QXV_A 0.12 0.12 0.16 0.10 1.00 0.16 0.16 0.16 0.16 0.15 0.16 0.16 0.16 0.15 0.15 0.16 0.16 0.16 0.16 0.16 0.15 0.15 0.15 0.15 0.15 0.15 0.15 0.15 0.16 0.16
2XL2_B 0.16 0.16 1.00 0.12 0.16 1.00 1.00 0.99 1.00 1.00 1.00 1.00 1.00 0.94 0.94 1.00 1.00 1.00 1.00 1.00 0.25 0.24 0.25 0.25 0.25 0.24 0.25 0.25 1.00 1.00
3EG6_A 0.16 0.16 1.00 0.12 0.16 1.00 1.00 0.99 1.00 1.00 1.00 1.00 1.00 0.94 0.94 1.00 1.00 1.00 1.00 1.00 0.25 0.24 0.25 0.25 0.25 0.24 0.25 0.25 1.00 1.00
3EMH_A 0.16 0.16 0.99 0.12 0.16 0.99 0.99 1.00 0.99 0.99 0.99 0.99 0.99 0.94 0.93 0.99 0.99 0.99 0.99 0.99 0.26 0.24 0.25 0.25 0.25 0.24 0.25 0.25 0.98 0.99
3P4F_A 0.16 0.16 1.00 0.12 0.16 1.00 1.00 0.99 1.00 1.00 1.00 1.00 1.00 0.94 0.94 1.00 1.00 1.00 1.00 1.00 0.26 0.24 0.25 0.25 0.25 0.24 0.25 0.25 1.00 1.00
3UVL_A 0.16 0.16 1.00 0.12 0.15 1.00 1.00 0.99 1.00 1.00 1.00 1.00 1.00 0.94 0.94 1.00 1.00 1.00 1.00 1.00 0.25 0.24 0.25 0.25 0.25 0.24 0.25 0.25 0.99 1.00
3UVM_A 0.16 0.16 1.00 0.12 0.16 1.00 1.00 0.99 1.00 1.00 1.00 1.00 1.00 0.94 0.94 1.00 1.00 1.00 1.00 1.00 0.26 0.24 0.25 0.25 0.25 0.24 0.25 0.25 1.00 1.00
3UVN_C 0.16 0.16 1.00 0.12 0.16 1.00 1.00 0.99 1.00 1.00 1.00 1.00 1.00 0.94 0.94 1.00 1.00 1.00 1.00 1.00 0.25 0.24 0.25 0.25 0.25 0.24 0.25 0.25 1.00 1.00
4CY2_A 0.16 0.16 1.00 0.12 0.16 1.00 1.00 0.99 1.00 1.00 1.00 1.00 1.00 0.94 0.94 1.00 1.00 1.00 1.00 1.00 0.25 0.24 0.25 0.25 0.25 0.24 0.25 0.25 1.00 1.00
4CY3_A 0.16 0.16 0.94 0.13 0.15 0.94 0.94 0.94 0.94 0.94 0.94 0.94 0.94 1.00 1.00 0.94 0.94 0.94 0.94 0.94 0.25 0.25 0.26 0.26 0.26 0.25 0.26 0.26 0.94 0.94
4CY5_A 0.16 0.16 0.94 0.13 0.15 0.94 0.94 0.93 0.94 0.94 0.94 0.94 0.94 1.00 1.00 0.94 0.94 0.94 0.94 0.94 0.24 0.25 0.26 0.26 0.26 0.25 0.26 0.26 0.94 0.94
4ERQ_C 0.16 0.16 1.00 0.12 0.16 1.00 1.00 0.99 1.00 1.00 1.00 1.00 1.00 0.94 0.94 1.00 1.00 1.00 1.00 1.00 0.25 0.24 0.25 0.25 0.25 0.24 0.25 0.25 1.00 1.00
4ERY_A 0.16 0.16 1.00 0.12 0.16 1.00 1.00 0.99 1.00 1.00 1.00 1.00 1.00 0.94 0.94 1.00 1.00 1.00 1.00 1.00 0.25 0.24 0.25 0.25 0.25 0.24 0.25 0.25 1.00 1.00
4ERZ_C 0.16 0.16 1.00 0.12 0.16 1.00 1.00 0.99 1.00 1.00 1.00 1.00 1.00 0.94 0.94 1.00 1.00 1.00 1.00 1.00 0.25 0.24 0.25 0.25 0.25 0.24 0.25 0.25 1.00 1.00
4ES0_A 0.16 0.16 1.00 0.12 0.16 1.00 1.00 0.99 1.00 1.00 1.00 1.00 1.00 0.94 0.94 1.00 1.00 1.00 1.00 1.00 0.26 0.24 0.25 0.25 0.25 0.24 0.25 0.25 1.00 1.00
4EWR_A 0.16 0.16 1.00 0.12 0.16 1.00 1.00 0.99 1.00 1.00 1.00 1.00 1.00 0.94 0.94 1.00 1.00 1.00 1.00 1.00 0.25 0.24 0.25 0.25 0.25 0.24 0.25 0.25 1.00 1.00
4GGD_A 0.19 0.19 0.25 0.15 0.15 0.25 0.25 0.26 0.26 0.25 0.26 0.25 0.25 0.25 0.24 0.25 0.25 0.25 0.26 0.25 1.00 0.17 0.17 0.17 0.17 0.17 0.17 0.17 0.25 0.26
