 1LVB_A 1LVM_A 3MMG_A 3MMG_B
1LVB_A 1.00 0.87 0.51 0.50
1LVM_A 0.87 1.00 0.51 0.50
3MMG_A 0.51 0.51 1.00 0.99
3MMG_B 0.50 0.50 0.99 1.00
