,3AM7_A_22_B_1.pdb,2V8Y_A_22_B_1.pdb,3U7X_A_22_C_1.pdb,1EJH_D_22_H_1.pdb,3HXI_A_22_C_1.pdb,3M94_A_22_C_1.pdb,2W97_A_22_E_1.pdb,4AZA_C_22_D_1.pdb,3HXG_A_22_C_1.pdb,2W97_B_22_F_1.pdb,1WKW_A_22_B_1.pdb,5ABY_E_22_F_1.pdb
3AM7_A_22_B_1.pdb,1.0,0.945273631840796,0.9751243781094527,0.8756218905472637,0.3482587064676617,0.48756218905472637,0.9751243781094527,0.9651741293532339,0.3383084577114428,0.9154228855721394,0.9900497512437811,0.46766169154228854
2V8Y_A_22_B_1.pdb,0.945273631840796,1.0,0.9701492537313433,0.9303482587064676,0.373134328358209,0.5223880597014925,0.9701492537313433,0.9651741293532339,0.3681592039800995,0.9253731343283582,0.945273631840796,0.5223880597014925
3U7X_A_22_C_1.pdb,0.9751243781094527,0.9701492537313433,1.0,0.900497512437811,0.373134328358209,0.5124378109452736,1.0,0.9502487562189055,0.36318407960199006,0.9203980099502488,0.9751243781094527,0.4925373134328358
1EJH_D_22_H_1.pdb,0.8756218905472637,0.9303482587064676,0.900497512437811,1.0,0.3880597014925373,0.5223880597014925,0.900497512437811,0.9054726368159204,0.38308457711442784,0.8557213930348259,0.8756218905472637,0.5472636815920398
3HXI_A_22_C_1.pdb,0.3482587064676617,0.373134328358209,0.373134328358209,0.3880597014925373,1.0,0.3880597014925373,0.373134328358209,0.3482587064676617,0.9701492537313433,0.3482587064676617,0.35323383084577115,0.3482587064676617
3M94_A_22_C_1.pdb,0.48756218905472637,0.5223880597014925,0.5124378109452736,0.5223880597014925,0.3880597014925373,1.0,0.5124378109452736,0.4975124378109453,0.3781094527363184,0.48756218905472637,0.4925373134328358,0.7761194029850746
2W97_A_22_E_1.pdb,0.9751243781094527,0.9701492537313433,1.0,0.900497512437811,0.373134328358209,0.5124378109452736,1.0,0.9502487562189055,0.36318407960199006,0.9203980099502488,0.9751243781094527,0.4925373134328358
4AZA_C_22_D_1.pdb,0.9651741293532339,0.9651741293532339,0.9502487562189055,0.9054726368159204,0.3482587064676617,0.4975124378109453,0.9502487562189055,1.0,0.34328358208955223,0.9203980099502488,0.9651741293532339,0.4975124378109453
3HXG_A_22_C_1.pdb,0.3383084577114428,0.3681592039800995,0.36318407960199006,0.38308457711442784,0.9701492537313433,0.3781094527363184,0.36318407960199006,0.34328358208955223,1.0,0.34328358208955223,0.34328358208955223,0.34328358208955223
2W97_B_22_F_1.pdb,0.9154228855721394,0.9253731343283582,0.9203980099502488,0.8557213930348259,0.3482587064676617,0.48756218905472637,0.9203980099502488,0.9203980099502488,0.34328358208955223,1.0,0.9054726368159204,0.48258706467661694
1WKW_A_22_B_1.pdb,0.9900497512437811,0.945273631840796,0.9751243781094527,0.8756218905472637,0.35323383084577115,0.4925373134328358,0.9751243781094527,0.9651741293532339,0.34328358208955223,0.9054726368159204,1.0,0.472636815920398
5ABY_E_22_F_1.pdb,0.46766169154228854,0.5223880597014925,0.4925373134328358,0.5472636815920398,0.3482587064676617,0.7761194029850746,0.4925373134328358,0.4975124378109453,0.34328358208955223,0.48258706467661694,0.472636815920398,1.0
