 1D8D_BA 1JCS_BA 1KZO_BA 1KZP_BA 1TN6_BA 1TN7_BA 1TN8_BA 2H6H_BA 3Q75_BA 3Q78_BA 4L9P_BA
1D8D_BA 1.00 1.00 1.00 1.00 0.96 1.00 1.00 0.96 0.33 0.33 0.34
1JCS_BA 1.00 1.00 1.00 1.00 0.96 1.00 1.00 0.96 0.33 0.33 0.34
1KZO_BA 1.00 1.00 1.00 1.00 0.96 1.00 1.00 0.96 0.33 0.33 0.34
1KZP_BA 1.00 1.00 1.00 1.00 0.96 1.00 1.00 0.96 0.33 0.33 0.34
1TN6_BA 0.96 0.96 0.96 0.96 1.00 0.96 0.96 1.00 0.33 0.33 0.35
1TN7_BA 1.00 1.00 1.00 1.00 0.96 1.00 1.00 0.96 0.33 0.33 0.34
1TN8_BA 1.00 1.00 1.00 1.00 0.96 1.00 1.00 0.96 0.33 0.33 0.34
2H6H_BA 0.96 0.96 0.96 0.96 1.00 0.96 0.96 1.00 0.33 0.33 0.34
3Q75_BA 0.33 0.33 0.33 0.33 0.33 0.33 0.33 0.33 1.00 0.99 0.32
3Q78_BA 0.33 0.33 0.33 0.33 0.33 0.33 0.33 0.33 0.99 1.00 0.33
4L9P_BA 0.34 0.34 0.34 0.34 0.35 0.34 0.34 0.34 0.32 0.33 1.00
