 1SVZ_A 5A2I_H 5A2J_H 5A2L_H
1SVZ_A 1.00 0.25 0.25 0.25
5A2I_H 0.25 1.00 1.00 0.99
5A2J_H 0.25 1.00 1.00 1.00
5A2L_H 0.25 0.99 1.00 1.00
