,2O02_B_90_Q_1.pdb,4GNT_A_90_B_2.pdb,2O02_A_90_P_1.pdb,4N7G_A_90_B_1.pdb
2O02_B_90_Q_1.pdb,1.0,0.8787878787878788,0.974025974025974,0.9913419913419913
4GNT_A_90_B_2.pdb,0.8787878787878788,1.0,0.8614718614718615,0.8701298701298701
2O02_A_90_P_1.pdb,0.974025974025974,0.8614718614718615,1.0,0.9653679653679653
4N7G_A_90_B_1.pdb,0.9913419913419913,0.8701298701298701,0.9653679653679653,1.0
