 2ILM_A 2XUM_A 2Y0I_A 3D8C_A 3P3N_A 4B7E_A 4B7K_A
2ILM_A 1.00 0.97 0.99 0.99 0.99 0.97 0.99
2XUM_A 0.97 1.00 0.97 0.97 0.97 1.00 0.97
2Y0I_A 0.99 0.97 1.00 0.99 0.99 0.97 1.00
3D8C_A 0.99 0.97 0.99 1.00 1.00 0.97 0.99
3P3N_A 0.99 0.97 0.99 1.00 1.00 0.98 0.99
4B7E_A 0.97 1.00 0.97 0.97 0.98 1.00 0.97
4B7K_A 0.99 0.97 1.00 0.99 0.99 0.97 1.00
