 1JD5_A 1Q4Q_J 1XB0_D 3D9T_B
1JD5_A 1.00 0.93 0.35 0.36
1Q4Q_J 0.93 1.00 0.37 0.38
1XB0_D 0.35 0.37 1.00 0.43
3D9T_B 0.36 0.38 0.43 1.00
