 2FP7_B 2IJO_B 3E90_B 3E90_D 3U1I_B
2FP7_B 1.00 0.85 0.83 0.86 0.49
2IJO_B 0.85 1.00 0.93 0.96 0.52
3E90_B 0.83 0.93 1.00 0.97 0.52
3E90_D 0.86 0.96 0.97 1.00 0.52
3U1I_B 0.49 0.52 0.52 0.52 1.00
