 2QOS_C 4MVI_A 4MVK_A 4MVL_D 4QAE_F
2QOS_C 1.00 0.19 0.19 0.18 0.19
4MVI_A 0.19 1.00 0.99 0.92 0.83
4MVK_A 0.19 0.99 1.00 0.92 0.83
4MVL_D 0.18 0.92 0.92 1.00 0.82
4QAE_F 0.19 0.83 0.83 0.82 1.00
