 1BD2_AED 2AK4_AED 2BNQ_AED 2BNR_AED 3MV7_AED 3VXM_AED 3VXR_AED 4JFD_AED 4PRH_AED 4PRP_AED
1BD2_AED 1.00 0.79 0.83 0.83 0.73 0.73 0.74 0.79 0.69 0.73
2AK4_AED 0.79 1.00 0.80 0.79 0.79 0.73 0.73 0.72 0.74 0.79
2BNQ_AED 0.83 0.80 1.00 1.00 0.75 0.74 0.83 0.79 0.70 0.75
2BNR_AED 0.83 0.79 1.00 1.00 0.75 0.74 0.83 0.78 0.70 0.75
3MV7_AED 0.73 0.79 0.75 0.75 1.00 0.73 0.77 0.75 0.95 1.00
3VXM_AED 0.73 0.73 0.74 0.74 0.73 1.00 0.78 0.74 0.68 0.73
3VXR_AED 0.74 0.73 0.83 0.83 0.77 0.78 1.00 0.76 0.73 0.77
4JFD_AED 0.79 0.72 0.79 0.78 0.75 0.74 0.76 1.00 0.70 0.75
4PRH_AED 0.69 0.74 0.70 0.70 0.95 0.68 0.73 0.70 1.00 0.95
4PRP_AED 0.73 0.79 0.75 0.75 1.00 0.73 0.77 0.75 0.95 1.00
