 1EJH_D 1WKW_A 2V8W_A 2W97_A 2W97_B 3AM7_A 3HXG_A 3HXI_A 3M94_A 3U7X_A 4AZA_C 5ABY_E
1EJH_D 1.00 0.88 0.93 0.90 0.90 0.88 0.34 0.34 0.48 0.90 0.90 0.49
1WKW_A 0.88 1.00 0.95 0.98 0.92 0.99 0.34 0.34 0.47 0.98 0.97 0.46
2V8W_A 0.93 0.95 1.00 0.97 0.95 0.95 0.34 0.35 0.49 0.97 0.97 0.49
2W97_A 0.90 0.98 0.97 1.00 0.94 0.98 0.34 0.34 0.48 1.00 0.97 0.47
2W97_B 0.90 0.92 0.95 0.94 1.00 0.92 0.33 0.34 0.47 0.94 0.94 0.48
3AM7_A 0.88 0.99 0.95 0.98 0.92 1.00 0.34 0.34 0.47 0.98 0.97 0.46
3HXG_A 0.34 0.34 0.34 0.34 0.33 0.34 1.00 0.99 0.35 0.34 0.34 0.32
3HXI_A 0.34 0.34 0.35 0.34 0.34 0.34 0.99 1.00 0.35 0.34 0.34 0.32
3M94_A 0.48 0.47 0.49 0.48 0.47 0.47 0.35 0.35 1.00 0.49 0.48 0.79
3U7X_A 0.90 0.98 0.97 1.00 0.94 0.98 0.34 0.34 0.49 1.00 0.97 0.47
4AZA_C 0.90 0.97 0.97 0.97 0.94 0.97 0.34 0.34 0.48 0.97 1.00 0.47
5ABY_E 0.49 0.46 0.49 0.47 0.48 0.46 0.32 0.32 0.79 0.47 0.47 1.00
