,3AA6_AB_106_C_1.pdb,3LK2_AB_106_T_1.pdb,3AA0_AB_106_C_1.pdb,3LK4_78_106_9_1.pdb,3AA1_AB_106_C_1.pdb
3AA6_AB_106_C_1.pdb,1.0,1.0,1.0,0.996309963099631,0.996309963099631
3LK2_AB_106_T_1.pdb,1.0,1.0,1.0,0.996309963099631,0.996309963099631
3AA0_AB_106_C_1.pdb,1.0,1.0,1.0,0.996309963099631,0.996309963099631
3LK4_78_106_9_1.pdb,0.996309963099631,0.996309963099631,0.996309963099631,1.0,0.992619926199262
3AA1_AB_106_C_1.pdb,0.996309963099631,0.996309963099631,0.996309963099631,0.992619926199262,1.0
