 1MF4_A 1SKG_A 2GNS_A 3FG5_A 3GCI_A 3JQ5_A 3JTI_A 4GLD_A
1MF4_A 1.00 0.33 0.34 0.34 0.99 1.00 1.00 0.34
1SKG_A 0.33 1.00 1.00 1.00 0.34 0.33 0.33 1.00
2GNS_A 0.34 1.00 1.00 1.00 0.35 0.34 0.34 1.00
3FG5_A 0.34 1.00 1.00 1.00 0.35 0.34 0.34 1.00
3GCI_A 0.99 0.34 0.35 0.35 1.00 0.99 0.99 0.35
3JQ5_A 1.00 0.33 0.34 0.34 0.99 1.00 1.00 0.34
3JTI_A 1.00 0.33 0.34 0.34 0.99 1.00 1.00 0.34
4GLD_A 0.34 1.00 1.00 1.00 0.35 0.34 0.34 1.00
