 3TWR_D 3TWS_D 3TWT_D 3TWU_A 3TWV_D 3TWX_B 3UXG_A 3V2O_A 3V30_A 4LG6_A 4QQI_A 4QQM_C
3TWR_D 1.00 0.98 0.99 0.97 0.99 1.00 0.26 0.30 0.27 0.29 0.28 0.27
3TWS_D 0.98 1.00 0.97 0.97 0.99 0.98 0.26 0.30 0.27 0.29 0.27 0.27
3TWT_D 0.99 0.97 1.00 0.97 0.97 0.99 0.26 0.29 0.27 0.29 0.28 0.27
3TWU_A 0.97 0.97 0.97 1.00 0.97 0.97 0.26 0.29 0.27 0.29 0.27 0.27
3TWV_D 0.99 0.99 0.97 0.97 1.00 0.99 0.26 0.30 0.27 0.29 0.27 0.27
3TWX_B 1.00 0.98 0.99 0.97 0.99 1.00 0.26 0.30 0.27 0.29 0.27 0.27
3UXG_A 0.26 0.26 0.26 0.26 0.26 0.26 1.00 0.65 0.98 0.66 0.61 0.99
3V2O_A 0.30 0.30 0.29 0.29 0.30 0.30 0.65 1.00 0.65 0.97 0.90 0.65
3V30_A 0.27 0.27 0.27 0.27 0.27 0.27 0.98 0.65 1.00 0.65 0.60 0.99
4LG6_A 0.29 0.29 0.29 0.29 0.29 0.29 0.66 0.97 0.65 1.00 0.93 0.66
4QQI_A 0.28 0.27 0.28 0.27 0.27 0.27 0.61 0.90 0.60 0.93 1.00 0.61
4QQM_C 0.27 0.27 0.27 0.27 0.27 0.27 0.99 0.65 0.99 0.66 0.61 1.00
