,4GGN_C_94_F_1.pdb,4AOM_A_94_T_1.pdb,4R1E_A_94_B_1.pdb,2QAC_A_94_T_1.pdb
4GGN_C_94_F_1.pdb,1.0,0.696551724137931,0.7034482758620689,0.6896551724137931
4AOM_A_94_T_1.pdb,0.696551724137931,1.0,0.9655172413793104,0.9793103448275862
4R1E_A_94_B_1.pdb,0.7034482758620689,0.9655172413793104,1.0,0.9862068965517241
2QAC_A_94_T_1.pdb,0.6896551724137931,0.9793103448275862,0.9862068965517241,1.0
