 2F31_A 4D49_A 4D49_B 4UWX_B
2F31_A 1.00 0.13 0.13 0.99
4D49_A 0.13 1.00 1.00 0.13
4D49_B 0.13 1.00 1.00 0.14
4UWX_B 0.99 0.13 0.14 1.00
