 2BR8_AB 2BYP_BA 2UZ6_FG 4EZ1_AE 4EZ1_BA
2BR8_AB 1.00 0.95 1.00 0.97 0.97
2BYP_BA 0.95 1.00 0.95 0.96 0.96
2UZ6_FG 1.00 0.95 1.00 0.97 0.97
4EZ1_AE 0.97 0.96 0.97 1.00 0.99
4EZ1_BA 0.97 0.96 0.97 0.99 1.00
