 2XU7_B 2XYI_A 2YB8_B 3CFS_B 4PBY_B 4PBZ_A 4PC0_B 4R7A_B
2XU7_B 1.00 0.90 0.91 0.88 0.91 0.95 0.91 0.99
2XYI_A 0.90 1.00 0.98 0.87 0.87 0.91 0.87 0.90
2YB8_B 0.91 0.98 1.00 0.87 0.86 0.90 0.86 0.91
3CFS_B 0.88 0.87 0.87 1.00 0.87 0.90 0.87 0.88
4PBY_B 0.91 0.87 0.86 0.87 1.00 0.94 0.99 0.91
4PBZ_A 0.95 0.91 0.90 0.90 0.94 1.00 0.94 0.95
4PC0_B 0.91 0.87 0.86 0.87 0.99 0.94 1.00 0.91
4R7A_B 0.99 0.90 0.91 0.88 0.91 0.95 0.91 1.00
