 1EE4_A 1EE5_A 1PJM_B 1PJN_B 1Q1S_C 1Q1T_C 1Y2A_C 2YNR_A 2YNS_B 3L3Q_A 3L6X_A 3OQS_A 3Q5U_A 3RZ9_A 3UKW_B 3UKX_B 3UKZ_B 3UL0_B 3UL1_B 3UVU_A 3ZIN_A 3ZIO_A 3ZIP_A 3ZIQ_A 3ZIR_A 4B8O_A 4B8P_B 4BA3_A 4BPL_A 4MZ5_E 4MZ6_E 4RXH_B 4WV6_A 4YI0_C 4ZDU_A
1EE4_A 1.00 0.99 0.47 0.47 0.46 0.47 0.47 0.47 0.58 0.47 0.15 0.47 0.47 0.47 0.47 0.47 0.47 0.47 0.47 0.47 0.47 0.47 0.47 0.47 0.47 0.58 0.58 0.47 0.58 0.47 0.47 0.64 0.47 0.47 0.47
1EE5_A 0.99 1.00 0.47 0.47 0.46 0.47 0.47 0.47 0.58 0.47 0.15 0.47 0.47 0.47 0.47 0.47 0.47 0.47 0.47 0.47 0.47 0.47 0.47 0.47 0.47 0.58 0.58 0.47 0.58 0.47 0.47 0.64 0.47 0.47 0.47
1PJM_B 0.47 0.47 1.00 1.00 0.98 1.00 0.99 1.00 0.49 1.00 0.16 1.00 0.99 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.50 0.49 1.00 0.50 1.00 1.00 0.49 0.94 1.00 0.97
1PJN_B 0.47 0.47 1.00 1.00 0.98 1.00 0.99 1.00 0.50 1.00 0.16 1.00 0.99 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.50 0.49 1.00 0.50 1.00 1.00 0.49 0.94 1.00 0.98
1Q1S_C 0.46 0.46 0.98 0.98 1.00 0.98 0.97 0.98 0.49 0.98 0.16 0.98 0.97 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.49 0.48 0.98 0.49 0.98 0.98 0.48 0.92 0.98 0.96
1Q1T_C 0.47 0.47 1.00 1.00 0.98 1.00 0.99 1.00 0.49 1.00 0.16 1.00 0.99 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.49 0.49 1.00 0.49 1.00 1.00 0.48 0.93 0.99 0.97
1Y2A_C 0.47 0.47 0.99 0.99 0.97 0.99 1.00 0.99 0.50 0.99 0.16 0.99 1.00 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.50 0.50 0.99 0.50 0.99 0.99 0.49 0.94 1.00 0.98
2YNR_A 0.47 0.47 1.00 1.00 0.98 1.00 0.99 1.00 0.49 1.00 0.16 1.00 0.99 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.50 0.49 1.00 0.49 1.00 1.00 0.49 0.94 1.00 0.98
2YNS_B 0.58 0.58 0.49 0.50 0.49 0.49 0.50 0.49 1.00 0.49 0.18 0.49 0.50 0.50 0.49 0.49 0.49 0.49 0.49 0.50 0.49 0.49 0.49 0.49 0.49 1.00 1.00 0.49 1.00 0.49 0.49 0.66 0.49 0.49 0.50
3L3Q_A 0.47 0.47 1.00 1.00 0.98 1.00 0.99 1.00 0.49 1.00 0.16 1.00 0.99 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.49 0.49 1.00 0.49 1.00 1.00 0.49 0.94 1.00 0.97
3L6X_A 0.15 0.15 0.16 0.16 0.16 0.16 0.16 0.16 0.18 0.16 1.00 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.15 0.16 0.16 0.16 0.16 0.16 0.16 0.18 0.18 0.16 0.18 0.16 0.16 0.17 0.15 0.16 0.17
3OQS_A 0.47 0.47 1.00 1.00 0.98 1.00 0.99 1.00 0.49 1.00 0.16 1.00 0.99 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.50 0.49 1.00 0.49 1.00 1.00 0.49 0.94 1.00 0.98
3Q5U_A 0.47 0.47 0.99 0.99 0.97 0.99 1.00 0.99 0.50 0.99 0.16 0.99 1.00 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.50 0.50 0.99 0.50 0.99 0.99 0.49 0.94 1.00 0.98
3RZ9_A 0.47 0.47 1.00 1.00 0.98 1.00 0.99 1.00 0.50 1.00 0.16 1.00 0.99 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.50 0.49 1.00 0.50 1.00 1.00 0.49 0.94 1.00 0.98
3UKW_B 0.47 0.47 1.00 1.00 0.98 1.00 0.99 1.00 0.49 1.00 0.16 1.00 0.99 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.50 0.49 1.00 0.49 1.00 1.00 0.49 0.94 1.00 0.98
3UKX_B 0.47 0.47 1.00 1.00 0.98 1.00 0.99 1.00 0.49 1.00 0.16 1.00 0.99 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.49 0.49 1.00 0.49 1.00 1.00 0.49 0.94 1.00 0.98
3UKZ_B 0.47 0.47 1.00 1.00 0.98 1.00 0.99 1.00 0.49 1.00 0.16 1.00 0.99 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.49 0.49 1.00 0.49 1.00 1.00 0.49 0.94 1.00 0.97
3UL0_B 0.47 0.47 1.00 1.00 0.98 1.00 0.99 1.00 0.49 1.00 0.16 1.00 0.99 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.50 0.49 1.00 0.49 1.00 1.00 0.49 0.94 1.00 0.98
3UL1_B 0.47 0.47 1.00 1.00 0.98 1.00 0.99 1.00 0.49 1.00 0.15 1.00 0.99 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.50 0.49 1.00 0.49 1.00 1.00 0.49 0.94 1.00 0.98
3UVU_A 0.47 0.47 1.00 1.00 0.98 1.00 0.99 1.00 0.50 1.00 0.16 1.00 0.99 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.50 0.49 1.00 0.50 1.00 1.00 0.49 0.94 1.00 0.98
3ZIN_A 0.47 0.47 1.00 1.00 0.98 1.00 0.99 1.00 0.49 1.00 0.16 1.00 0.99 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.50 0.49 1.00 0.49 1.00 1.00 0.49 0.94 1.00 0.98
3ZIO_A 0.47 0.47 1.00 1.00 0.98 1.00 0.99 1.00 0.49 1.00 0.16 1.00 0.99 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.50 0.49 1.00 0.49 1.00 1.00 0.49 0.94 1.00 0.98
3ZIP_A 0.47 0.47 1.00 1.00 0.98 1.00 0.99 1.00 0.49 1.00 0.16 1.00 0.99 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.50 0.49 1.00 0.49 1.00 1.00 0.49 0.94 1.00 0.98
3ZIQ_A 0.47 0.47 1.00 1.00 0.98 1.00 0.99 1.00 0.49 1.00 0.16 1.00 0.99 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.50 0.49 1.00 0.49 1.00 1.00 0.49 0.94 1.00 0.98
3ZIR_A 0.47 0.47 1.00 1.00 0.98 1.00 0.99 1.00 0.49 1.00 0.16 1.00 0.99 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.50 0.49 1.00 0.49 1.00 1.00 0.49 0.94 1.00 0.98
4B8O_A 0.58 0.58 0.50 0.50 0.49 0.49 0.50 0.50 1.00 0.49 0.18 0.50 0.50 0.50 0.50 0.49 0.49 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 1.00 1.00 0.49 1.00 0.49 0.50 0.66 0.49 0.50 0.50
4B8P_B 0.58 0.58 0.49 0.49 0.48 0.49 0.50 0.49 1.00 0.49 0.18 0.49 0.50 0.49 0.49 0.49 0.49 0.49 0.49 0.49 0.49 0.49 0.49 0.49 0.49 1.00 1.00 0.49 1.00 0.49 0.49 0.66 0.49 0.49 0.50
4BA3_A 0.47 0.47 1.00 1.00 0.98 1.00 0.99 1.00 0.49 1.00 0.16 1.00 0.99 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.49 0.49 1.00 0.49 1.00 1.00 0.48 0.93 0.99 0.97
4BPL_A 0.58 0.58 0.50 0.50 0.49 0.49 0.50 0.49 1.00 0.49 0.18 0.49 0.50 0.50 0.49 0.49 0.49 0.49 0.49 0.50 0.49 0.49 0.49 0.49 0.49 1.00 1.00 0.49 1.00 0.49 0.49 0.66 0.49 0.49 0.50
4MZ5_E 0.47 0.47 1.00 1.00 0.98 1.00 0.99 1.00 0.49 1.00 0.16 1.00 0.99 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.49 0.49 1.00 0.49 1.00 1.00 0.49 0.94 1.00 0.97
4MZ6_E 0.47 0.47 1.00 1.00 0.98 1.00 0.99 1.00 0.49 1.00 0.16 1.00 0.99 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.50 0.49 1.00 0.49 1.00 1.00 0.49 0.94 1.00 0.98
4RXH_B 0.64 0.64 0.49 0.49 0.48 0.48 0.49 0.49 0.66 0.49 0.17 0.49 0.49 0.49 0.49 0.49 0.49 0.49 0.49 0.49 0.49 0.49 0.49 0.49 0.49 0.66 0.66 0.48 0.66 0.49 0.49 1.00 0.49 0.49 0.49
4WV6_A 0.47 0.47 0.94 0.94 0.92 0.93 0.94 0.94 0.49 0.94 0.15 0.94 0.94 0.94 0.94 0.94 0.94 0.94 0.94 0.94 0.94 0.94 0.94 0.94 0.94 0.49 0.49 0.93 0.49 0.94 0.94 0.49 1.00 0.94 0.92
4YI0_C 0.47 0.47 1.00 1.00 0.98 0.99 1.00 1.00 0.49 1.00 0.16 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.50 0.49 0.99 0.49 1.00 1.00 0.49 0.94 1.00 0.98
4ZDU_A 0.47 0.47 0.97 0.98 0.96 0.97 0.98 0.98 0.50 0.97 0.17 0.98 0.98 0.98 0.98 0.98 0.97 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.50 0.50 0.97 0.50 0.97 0.98 0.49 0.92 0.98 1.00
