 1CA0_GH 1CHO_FG 1RIW_BC 1YPH_DF 2CHA_FG
1CA0_GH 1.00 1.00 0.35 1.00 1.00
1CHO_FG 1.00 1.00 0.35 1.00 1.00
1RIW_BC 0.35 0.35 1.00 0.35 0.35
1YPH_DF 1.00 1.00 0.35 1.00 1.00
2CHA_FG 1.00 1.00 0.35 1.00 1.00
