,3E90_BD_80_A_1.pdb,3U1I_B_80_A_1.pdb,2FP7_B_80_A_1.pdb,2IJO_B_80_A_1.pdb,3E90_BD_80_C_2.pdb
3E90_BD_80_A_1.pdb,1.0,0.4943820224719101,0.8314606741573034,0.9157303370786517,1.0
3U1I_B_80_A_1.pdb,0.4943820224719101,1.0,0.5168539325842697,0.5,0.4943820224719101
2FP7_B_80_A_1.pdb,0.8314606741573034,0.5168539325842697,1.0,0.8595505617977528,0.8314606741573034
2IJO_B_80_A_1.pdb,0.9157303370786517,0.5,0.8595505617977528,1.0,0.9157303370786517
3E90_BD_80_C_2.pdb,1.0,0.4943820224719101,0.8314606741573034,0.9157303370786517,1.0
