 1CZY_C 1D01_D 1D0A_A 1D0J_A 1D0J_D 1LB5_A 1LB6_A 1QSC_A
1CZY_C 1.00 1.00 1.00 0.99 0.99 0.26 0.26 0.92
1D01_D 1.00 1.00 1.00 0.99 0.99 0.26 0.26 0.92
1D0A_A 1.00 1.00 1.00 0.99 0.99 0.26 0.26 0.92
1D0J_A 0.99 0.99 0.99 1.00 1.00 0.26 0.26 0.93
1D0J_D 0.99 0.99 0.99 1.00 1.00 0.26 0.26 0.93
1LB5_A 0.26 0.26 0.26 0.26 0.26 1.00 1.00 0.24
1LB6_A 0.26 0.26 0.26 0.26 0.26 1.00 1.00 0.24
1QSC_A 0.92 0.92 0.92 0.93 0.93 0.24 0.24 1.00
