 1HQQ_AD 1HQQ_CB 1HY2_CB 1KL3_AD 1KL3_CB 1KL5_AD 1KL5_CB 4JO6_DB
1HQQ_AD 1.00 1.00 0.97 0.97 0.97 0.97 0.97 0.99
1HQQ_CB 1.00 1.00 0.97 0.97 0.97 0.97 0.97 0.99
1HY2_CB 0.97 0.97 1.00 0.95 0.95 0.95 0.95 0.98
1KL3_AD 0.97 0.97 0.95 1.00 0.99 0.98 0.97 0.97
1KL3_CB 0.97 0.97 0.95 0.99 1.00 0.97 0.98 0.97
1KL5_AD 0.97 0.97 0.95 0.98 0.97 1.00 0.99 0.97
1KL5_CB 0.97 0.97 0.95 0.97 0.98 0.99 1.00 0.97
4JO6_DB 0.99 0.99 0.98 0.97 0.97 0.97 0.97 1.00
