 1OK7_B 3D1E_A 3D1F_A 3Q4J_B 4K3O_A 4K3P_A 4K3Q_A 4K3R_A 4K74_A
1OK7_B 1.00 1.00 1.00 0.99 0.98 0.98 0.98 0.98 0.97
3D1E_A 1.00 1.00 1.00 0.99 0.98 0.98 0.98 0.98 0.97
3D1F_A 1.00 1.00 1.00 0.99 0.98 0.98 0.98 0.98 0.97
3Q4J_B 0.99 0.99 0.99 1.00 0.99 0.98 0.98 0.98 0.98
4K3O_A 0.98 0.98 0.98 0.99 1.00 0.99 0.99 0.99 0.99
4K3P_A 0.98 0.98 0.98 0.98 0.99 1.00 1.00 1.00 0.99
4K3Q_A 0.98 0.98 0.98 0.98 0.99 1.00 1.00 1.00 0.99
4K3R_A 0.98 0.98 0.98 0.98 0.99 1.00 1.00 1.00 0.99
4K74_A 0.97 0.97 0.97 0.98 0.99 0.99 0.99 0.99 1.00
