 1K3A_A 1QMZ_C 1ZYS_A 2BFY_B 2C3I_B 2G1T_D 2VRX_A 3BU3_A 3BU5_A 3CXW_A 3CY2_A 3CY3_A 3MA3_A 3ZTX_B 4C2V_B 4FII_A 4JX7_A 4RRV_A 4XBU_A
1K3A_A 1.00 0.19 0.20 0.18 0.18 0.40 0.18 0.79 0.78 0.18 0.18 0.18 0.18 0.17 0.18 0.18 0.18 0.18 0.18
1QMZ_C 0.19 1.00 0.25 0.27 0.25 0.21 0.26 0.20 0.19 0.24 0.24 0.24 0.24 0.26 0.26 0.25 0.25 0.25 0.25
1ZYS_A 0.20 0.25 1.00 0.26 0.25 0.21 0.27 0.19 0.19 0.25 0.25 0.25 0.25 0.25 0.25 0.24 0.26 0.25 0.24
2BFY_B 0.18 0.27 0.26 1.00 0.24 0.20 0.96 0.17 0.16 0.24 0.24 0.23 0.24 0.97 0.99 0.23 0.24 0.30 0.23
2C3I_B 0.18 0.25 0.25 0.24 1.00 0.21 0.25 0.18 0.18 0.97 0.98 0.98 0.98 0.23 0.24 0.23 0.97 0.23 0.23
2G1T_D 0.40 0.21 0.21 0.20 0.21 1.00 0.20 0.37 0.37 0.21 0.21 0.21 0.21 0.19 0.20 0.17 0.21 0.21 0.16
2VRX_A 0.18 0.26 0.27 0.96 0.25 0.20 1.00 0.17 0.16 0.24 0.24 0.24 0.24 0.97 0.96 0.23 0.24 0.30 0.24
3BU3_A 0.79 0.20 0.19 0.17 0.18 0.37 0.17 1.00 0.99 0.19 0.19 0.19 0.17 0.16 0.17 0.20 0.19 0.17 0.20
3BU5_A 0.78 0.19 0.19 0.16 0.18 0.37 0.16 0.99 1.00 0.18 0.18 0.18 0.18 0.16 0.16 0.19 0.18 0.16 0.19
3CXW_A 0.18 0.24 0.25 0.24 0.97 0.21 0.24 0.19 0.18 1.00 1.00 0.99 0.97 0.23 0.24 0.23 0.99 0.23 0.23
3CY2_A 0.18 0.24 0.25 0.24 0.98 0.21 0.24 0.19 0.18 1.00 1.00 1.00 0.97 0.23 0.24 0.23 0.99 0.23 0.23
3CY3_A 0.18 0.24 0.25 0.23 0.98 0.21 0.24 0.19 0.18 0.99 1.00 1.00 0.98 0.23 0.24 0.22 0.98 0.23 0.22
3MA3_A 0.18 0.24 0.25 0.24 0.98 0.21 0.24 0.17 0.18 0.97 0.97 0.98 1.00 0.23 0.24 0.22 0.96 0.23 0.22
3ZTX_B 0.17 0.26 0.25 0.97 0.23 0.19 0.97 0.16 0.16 0.23 0.23 0.23 0.23 1.00 0.97 0.22 0.23 0.30 0.22
4C2V_B 0.18 0.26 0.25 0.99 0.24 0.20 0.96 0.17 0.16 0.24 0.24 0.24 0.24 0.97 1.00 0.23 0.24 0.31 0.23
4FII_A 0.18 0.25 0.24 0.23 0.23 0.17 0.23 0.20 0.19 0.23 0.23 0.22 0.22 0.22 0.23 1.00 0.23 0.23 0.99
4JX7_A 0.18 0.25 0.26 0.24 0.97 0.21 0.24 0.19 0.18 0.99 0.99 0.98 0.96 0.23 0.24 0.23 1.00 0.23 0.23
4RRV_A 0.18 0.25 0.25 0.30 0.23 0.21 0.30 0.17 0.16 0.23 0.23 0.23 0.23 0.30 0.31 0.23 0.23 1.00 0.23
4XBU_A 0.18 0.25 0.24 0.23 0.23 0.16 0.24 0.20 0.19 0.23 0.23 0.22 0.22 0.22 0.23 0.99 0.23 0.23 1.00
