 2NL9_A 2PQK_A 3D7V_A 3I1H_A 3IO9_A 3KJ1_A 3KJ2_A 3PK1_C 4CIM_A
2NL9_A 1.00 0.92 0.97 0.21 0.99 0.89 0.89 0.94 0.17
2PQK_A 0.92 1.00 0.95 0.22 0.94 0.95 0.96 0.94 0.17
3D7V_A 0.97 0.95 1.00 0.22 0.99 0.91 0.92 0.92 0.17
3I1H_A 0.21 0.22 0.22 1.00 0.22 0.21 0.22 0.23 0.16
3IO9_A 0.99 0.94 0.99 0.22 1.00 0.90 0.91 0.94 0.16
3KJ1_A 0.89 0.95 0.91 0.21 0.90 1.00 0.99 0.89 0.16
3KJ2_A 0.89 0.96 0.92 0.22 0.91 0.99 1.00 0.90 0.17
3PK1_C 0.94 0.94 0.92 0.23 0.94 0.89 0.90 1.00 0.16
4CIM_A 0.17 0.17 0.17 0.16 0.16 0.16 0.17 0.16 1.00
