,1IK9_AB_26_C_2.pdb,1FE6_ABD_26_C_1.pdb,1YBK_ABD_26_C_1.pdb
1IK9_AB_26_C_2.pdb,1.0,0.02358490566037736,0.02358490566037736
1FE6_ABD_26_C_1.pdb,0.02358490566037736,1.0,0.9952830188679245
1YBK_ABD_26_C_1.pdb,0.02358490566037736,0.9952830188679245,1.0
