 1KU8_ACG 1M26_ACG 4AKB_CGE 4AKC_CGE
1KU8_ACG 1.00 1.00 0.98 0.98
1M26_ACG 1.00 1.00 0.98 0.98
4AKB_CGE 0.98 0.98 1.00 1.00
4AKC_CGE 0.98 0.98 1.00 1.00
