 2D10_D 2ZPY_A 3BIN_A 3U7D_C 3WA0_A 3X23_A 4HDQ_A
2D10_D 1.00 0.99 0.28 0.19 0.62 0.99 0.18
2ZPY_A 0.99 1.00 0.29 0.19 0.62 0.99 0.18
3BIN_A 0.28 0.29 1.00 0.14 0.29 0.28 0.14
3U7D_C 0.19 0.19 0.14 1.00 0.18 0.19 0.98
3WA0_A 0.62 0.62 0.29 0.18 1.00 0.62 0.18
3X23_A 0.99 0.99 0.28 0.19 0.62 1.00 0.18
4HDQ_A 0.18 0.18 0.14 0.98 0.18 0.18 1.00
