 1JAC_GE 4AK4_IK 4R6O_GE 4R6R_GE
1JAC_GE 1.00 0.97 1.00 1.00
4AK4_IK 0.97 1.00 0.97 0.97
4R6O_GE 1.00 0.97 1.00 1.00
4R6R_GE 1.00 0.97 1.00 1.00
