 3ZG7_B 3ZG8_B 3ZG9_B 3ZGA_B
3ZG7_B 1.00 0.95 0.96 0.95
3ZG8_B 0.95 1.00 1.00 1.00
3ZG9_B 0.96 1.00 1.00 1.00
3ZGA_B 0.95 1.00 1.00 1.00
