,2HQH_AB_84_E_1.pdb,3RDV_D_84_H_1.pdb,2HQH_AB_84_H_2.pdb
2HQH_AB_84_E_1.pdb,1.0,0.4520547945205479,1.0
3RDV_D_84_H_1.pdb,0.4520547945205479,1.0,0.4520547945205479
2HQH_AB_84_H_2.pdb,1.0,0.4520547945205479,1.0
