 1LP9_HL 2YPL_AD 3VXS_AD 4G8G_AD 4G9F_AD 4ZEZ_AI
1LP9_HL 1.00 0.67 0.69 0.63 0.63 0.72
2YPL_AD 0.67 1.00 0.79 0.79 0.79 0.74
3VXS_AD 0.69 0.79 1.00 0.77 0.77 0.76
4G8G_AD 0.63 0.79 0.77 1.00 1.00 0.78
4G9F_AD 0.63 0.79 0.77 1.00 1.00 0.78
4ZEZ_AI 0.72 0.74 0.76 0.78 0.78 1.00
