 1UGW_CEA 3LM1_OCG 4AKB_AGE 4AKC_AGE
1UGW_CEA 1.00 0.79 0.97 0.97
3LM1_OCG 0.79 1.00 0.82 0.82
4AKB_AGE 0.97 0.82 1.00 1.00
4AKC_AGE 0.97 0.82 1.00 1.00
