,2Z34_A_183_D_3.pdb,2Z34_A_183_C_2.pdb,2DZE_AB_183_X_1.pdb
2Z34_A_183_D_3.pdb,1.0,1.0,0.8862275449101796
2Z34_A_183_C_2.pdb,1.0,1.0,0.8862275449101796
2DZE_AB_183_X_1.pdb,0.8862275449101796,0.8862275449101796,1.0
