 1XOC_A 3DRF_A 3DRG_A 3DRH_A 3DRI_A 3DRJ_A 3DRK_A 3RYB_A 4FAJ_A
1XOC_A 1.00 0.20 0.19 0.18 0.17 0.17 0.18 0.19 0.18
3DRF_A 0.20 1.00 0.96 0.96 0.96 0.96 0.96 0.96 0.18
3DRG_A 0.19 0.96 1.00 0.99 0.99 0.99 0.99 1.00 0.17
3DRH_A 0.18 0.96 0.99 1.00 1.00 1.00 1.00 0.99 0.17
3DRI_A 0.17 0.96 0.99 1.00 1.00 1.00 1.00 0.99 0.17
3DRJ_A 0.17 0.96 0.99 1.00 1.00 1.00 1.00 0.99 0.17
3DRK_A 0.18 0.96 0.99 1.00 1.00 1.00 1.00 0.99 0.17
3RYB_A 0.19 0.96 1.00 0.99 0.99 0.99 0.99 1.00 0.17
4FAJ_A 0.18 0.18 0.17 0.17 0.17 0.17 0.17 0.17 1.00
