,3AGY_B_107_F_2.pdb,3AGY_A_107_C_1.pdb,3AGY_B_107_D_1.pdb
3AGY_B_107_F_2.pdb,1.0,1.0,1.0
3AGY_A_107_C_1.pdb,1.0,1.0,1.0
3AGY_B_107_D_1.pdb,1.0,1.0,1.0
