 2QAC_A 4AOM_A 4GGN_C 4R1E_A
2QAC_A 1.00 0.99 0.69 0.99
4AOM_A 0.99 1.00 0.69 0.98
4GGN_C 0.69 0.69 1.00 0.70
4R1E_A 0.99 0.98 0.70 1.00
