 1K74_D 1K7L_G 1NQ7_A 1RDT_D 2NPA_A 2P54_A 3ET3_A 3FEI_A 3G9E_A 3KMR_A 3L0L_B 3QT0_A 3SP6_A 3T03_B 3VN2_A 4NIE_B 4S15_B 4WLB_B 4WPF_D 4XT9_A
1K74_D 1.00 0.61 0.22 0.93 0.61 0.61 0.95 0.60 0.94 0.21 0.21 0.98 0.62 0.92 0.96 0.21 0.24 0.21 0.21 0.21
1K7L_G 0.61 1.00 0.22 0.60 0.99 1.00 0.61 0.92 0.61 0.21 0.20 0.62 0.98 0.61 0.62 0.20 0.25 0.19 0.20 0.20
1NQ7_A 0.22 0.22 1.00 0.23 0.23 0.23 0.23 0.25 0.23 0.29 0.49 0.22 0.23 0.23 0.23 0.49 0.61 0.49 0.49 0.50
1RDT_D 0.93 0.60 0.23 1.00 0.60 0.60 0.97 0.63 0.98 0.23 0.23 0.93 0.60 0.97 0.97 0.23 0.26 0.23 0.23 0.23
2NPA_A 0.61 0.99 0.23 0.60 1.00 0.99 0.61 0.91 0.61 0.21 0.19 0.62 0.98 0.60 0.61 0.19 0.24 0.19 0.20 0.20
2P54_A 0.61 1.00 0.23 0.60 0.99 1.00 0.61 0.92 0.61 0.21 0.19 0.62 0.98 0.61 0.62 0.19 0.24 0.19 0.20 0.20
3ET3_A 0.95 0.61 0.23 0.97 0.61 0.61 1.00 0.62 0.99 0.23 0.22 0.96 0.61 0.96 0.99 0.22 0.25 0.22 0.22 0.22
3FEI_A 0.60 0.92 0.25 0.63 0.91 0.92 0.62 1.00 0.63 0.23 0.21 0.61 0.91 0.65 0.62 0.21 0.25 0.21 0.22 0.22
3G9E_A 0.94 0.61 0.23 0.98 0.61 0.61 0.99 0.63 1.00 0.23 0.22 0.95 0.61 0.97 0.99 0.22 0.25 0.22 0.22 0.22
3KMR_A 0.21 0.21 0.29 0.23 0.21 0.21 0.23 0.23 0.23 1.00 0.27 0.22 0.21 0.23 0.22 0.27 0.25 0.27 0.27 0.28
3L0L_B 0.21 0.20 0.49 0.23 0.19 0.19 0.22 0.21 0.22 0.27 1.00 0.21 0.20 0.22 0.21 0.98 0.52 0.99 0.98 0.98
3QT0_A 0.98 0.62 0.22 0.93 0.62 0.62 0.96 0.61 0.95 0.22 0.21 1.00 0.62 0.92 0.96 0.21 0.24 0.21 0.21 0.21
3SP6_A 0.62 0.98 0.23 0.60 0.98 0.98 0.61 0.91 0.61 0.21 0.20 0.62 1.00 0.60 0.61 0.20 0.23 0.20 0.20 0.20
3T03_B 0.92 0.61 0.23 0.97 0.60 0.61 0.96 0.65 0.97 0.23 0.22 0.92 0.60 1.00 0.95 0.22 0.25 0.23 0.23 0.22
3VN2_A 0.96 0.62 0.23 0.97 0.61 0.62 0.99 0.62 0.99 0.22 0.21 0.96 0.61 0.95 1.00 0.21 0.25 0.21 0.21 0.21
4NIE_B 0.21 0.20 0.49 0.23 0.19 0.19 0.22 0.21 0.22 0.27 0.98 0.21 0.20 0.22 0.21 1.00 0.52 0.98 1.00 0.99
4S15_B 0.24 0.25 0.61 0.26 0.24 0.24 0.25 0.25 0.25 0.25 0.52 0.24 0.23 0.25 0.25 0.52 1.00 0.52 0.52 0.52
4WLB_B 0.21 0.19 0.49 0.23 0.19 0.19 0.22 0.21 0.22 0.27 0.99 0.21 0.20 0.23 0.21 0.98 0.52 1.00 0.98 0.98
4WPF_D 0.21 0.20 0.49 0.23 0.20 0.20 0.22 0.22 0.22 0.27 0.98 0.21 0.20 0.23 0.21 1.00 0.52 0.98 1.00 0.99
4XT9_A 0.21 0.20 0.50 0.23 0.20 0.20 0.22 0.22 0.22 0.28 0.98 0.21 0.20 0.22 0.21 0.99 0.52 0.98 0.99 1.00
