 1JPL_A 1JUQ_A 1JWG_B 1LF8_D 3G2S_B 3G2T_B 3G2U_B 3G2V_B 3G2W_B
1JPL_A 1.00 0.95 0.63 0.96 0.63 0.63 0.63 0.63 0.63
1JUQ_A 0.95 1.00 0.67 0.93 0.67 0.67 0.67 0.67 0.67
1JWG_B 0.63 0.67 1.00 0.64 0.99 0.99 1.00 1.00 0.99
1LF8_D 0.96 0.93 0.64 1.00 0.64 0.64 0.64 0.64 0.64
3G2S_B 0.63 0.67 0.99 0.64 1.00 0.99 0.99 0.99 0.98
3G2T_B 0.63 0.67 0.99 0.64 0.99 1.00 0.99 0.99 0.99
3G2U_B 0.63 0.67 1.00 0.64 0.99 0.99 1.00 1.00 0.99
3G2V_B 0.63 0.67 1.00 0.64 0.99 0.99 1.00 1.00 0.99
3G2W_B 0.63 0.67 0.99 0.64 0.98 0.99 0.99 0.99 1.00
