 1SYQ_A 1T01_A 1U6H_A 1YDI_A 1ZVZ_A 1ZW2_A 3S90_B 3ZDL_A 4DJ9_A 4E17_A
1SYQ_A 1.00 0.96 0.95 0.96 0.96 0.95 0.97 0.95 0.93 0.93
1T01_A 0.96 1.00 0.99 0.94 0.99 0.98 0.96 0.99 0.94 0.95
1U6H_A 0.95 0.99 1.00 0.93 1.00 1.00 0.98 0.98 0.94 0.96
1YDI_A 0.96 0.94 0.93 1.00 0.94 0.93 0.95 0.95 0.93 0.92
1ZVZ_A 0.96 0.99 1.00 0.94 1.00 0.99 0.97 0.99 0.94 0.96
1ZW2_A 0.95 0.98 1.00 0.93 0.99 1.00 0.98 0.98 0.94 0.96
3S90_B 0.97 0.96 0.98 0.95 0.97 0.98 1.00 0.96 0.96 0.95
3ZDL_A 0.95 0.99 0.98 0.95 0.99 0.98 0.96 1.00 0.94 0.95
4DJ9_A 0.93 0.94 0.94 0.93 0.94 0.94 0.96 0.94 1.00 0.96
4E17_A 0.93 0.95 0.96 0.92 0.96 0.96 0.95 0.95 0.96 1.00
