 1R17_B 2VR3_B 2Y7L_A 3AT0_A 4B60_B 4F1Z_A 4F27_A 4LEB_A
1R17_B 1.00 0.27 0.11 0.25 0.20 0.26 0.27 0.12
2VR3_B 0.27 1.00 0.17 0.24 0.24 0.22 0.23 0.14
2Y7L_A 0.11 0.17 1.00 0.11 0.13 0.12 0.12 0.66
3AT0_A 0.25 0.24 0.11 1.00 0.20 0.91 0.89 0.12
4B60_B 0.20 0.24 0.13 0.20 1.00 0.20 0.20 0.14
4F1Z_A 0.26 0.22 0.12 0.91 0.20 1.00 0.97 0.14
4F27_A 0.27 0.23 0.12 0.89 0.20 0.97 1.00 0.13
4LEB_A 0.12 0.14 0.66 0.12 0.14 0.14 0.13 1.00
