 4EP2_A 4EP3_A 4EPJ_A 4EQ0_A 4EQJ_A
4EP2_A 1.00 1.00 1.00 0.98 0.97
4EP3_A 1.00 1.00 1.00 0.98 0.97
4EPJ_A 1.00 1.00 1.00 0.98 0.97
4EQ0_A 0.98 0.98 0.98 1.00 0.99
4EQJ_A 0.97 0.97 0.97 0.99 1.00
